FQ:6002.928, am:1.560, pw:6.850, ps:15345.622 
FQ:6042.741, am:1.545, pw:6.810, ps:15525.403 
FQ:5899.705, am:1.542, pw:6.800, ps:15099.321 
FQ:5908.419, am:1.542, pw:6.785, ps:15065.358 
FQ:5908.419, am:1.542, pw:6.785, ps:15217.259 
FQ:5912.786, am:1.543, pw:6.780, ps:15144.794 
FQ:6065.089, am:1.547, pw:6.780, ps:15549.661 
FQ:5934.718, am:1.533, pw:6.760, ps:15215.166 
FQ:6069.578, am:1.539, pw:6.770, ps:15636.529 
FQ:5925.926, am:1.535, pw:6.765, ps:15351.683 
FQ:5930.319, am:1.534, pw:6.765, ps:15293.873 
FQ:5930.319, am:1.548, pw:6.765, ps:15335.812 
FQ:5930.319, am:1.543, pw:6.760, ps:15160.862 
FQ:5934.718, am:1.547, pw:6.760, ps:15253.709 
FQ:5934.718, am:1.546, pw:6.755, ps:15344.131 
FQ:5939.124, am:1.543, pw:6.750, ps:15276.673 
FQ:5952.381, am:1.544, pw:6.735, ps:15084.168 
FQ:5943.536, am:1.545, pw:6.745, ps:15163.281 
FQ:5961.252, am:1.545, pw:6.735, ps:15074.076 
FQ:5961.252, am:1.545, pw:6.735, ps:15145.239 
FQ:5961.252, am:1.545, pw:6.730, ps:15132.803 
FQ:5965.697, am:1.545, pw:6.730, ps:15080.368 
FQ:5965.697, am:1.545, pw:6.720, ps:15061.903 
FQ:5974.608, am:1.537, pw:6.710, ps:15024.254 
FQ:6128.550, am:1.540, pw:6.705, ps:15623.862 
FQ:6133.134, am:1.539, pw:6.705, ps:15634.358 
FQ:5970.149, am:1.537, pw:6.715, ps:15143.652 
FQ:5970.149, am:1.547, pw:6.715, ps:15054.072 
FQ:5970.149, am:1.547, pw:6.715, ps:15100.054 
FQ:5970.149, am:1.549, pw:6.715, ps:15084.273 
FQ:5983.545, am:1.547, pw:6.705, ps:14924.829 
FQ:5974.608, am:1.547, pw:6.710, ps:15044.394 
FQ:5992.509, am:1.548, pw:6.695, ps:15546.480 
FQ:5979.073, am:1.549, pw:6.705, ps:15033.498 
FQ:6142.322, am:1.547, pw:6.695, ps:15549.151 
FQ:5979.073, am:1.547, pw:6.710, ps:15118.920 
FQ:6142.322, am:1.538, pw:6.695, ps:15631.809 
FQ:5974.608, am:1.536, pw:6.710, ps:15164.122 
FQ:5988.024, am:1.537, pw:6.695, ps:15576.107 
FQ:6142.322, am:1.538, pw:6.695, ps:15620.764 
