FQ:6397.306, am:0.567, pw:6.130, ps:5567.733 
FQ:6418.919, am:0.558, pw:6.100, ps:5762.219 
FQ:6446.141, am:0.564, pw:6.065, ps:5738.921 
FQ:6451.613, am:0.564, pw:6.065, ps:5773.823 
FQ:6440.678, am:0.562, pw:6.055, ps:5693.902 
FQ:6330.197, am:0.564, pw:6.075, ps:5787.112 
FQ:6341.045, am:0.561, pw:6.060, ps:5811.934 
FQ:6341.045, am:0.559, pw:6.075, ps:5849.606 
FQ:6346.484, am:0.559, pw:6.055, ps:5848.386 
FQ:6390.328, am:0.559, pw:5.975, ps:5874.982 
FQ:6401.384, am:0.558, pw:5.970, ps:5868.833 
FQ:6773.920, am:0.211, pw:18.365, ps:5124.395 
FQ:6429.192, am:0.540, pw:5.945, ps:5549.243 
FQ:6401.384, am:0.543, pw:5.945, ps:5104.647 
FQ:6418.040, am:0.544, pw:5.935, ps:5094.867 
FQ:6412.478, am:0.519, pw:5.915, ps:5334.070 
FQ:6326.889, am:0.516, pw:5.920, ps:5874.883 
FQ:6315.789, am:0.519, pw:5.930, ps:5644.333 
FQ:6440.383, am:0.527, pw:5.905, ps:5255.557 
FQ:6434.783, am:0.515, pw:5.925, ps:5644.897 
FQ:6310.254, am:0.515, pw:5.925, ps:5707.828 
FQ:6434.783, am:0.513, pw:5.910, ps:5716.474 
FQ:6321.335, am:0.523, pw:5.935, ps:5853.136 
FQ:6418.040, am:0.518, pw:5.905, ps:5334.482 
FQ:6434.783, am:0.519, pw:5.925, ps:5631.640  
FQ:6434.783, am:0.523, pw:5.915, ps:5569.017 
FQ:6434.783, am:0.519, pw:5.925, ps:5625.832 
FQ:6418.040, am:0.538, pw:5.915, ps:5318.518 
FQ:6445.993, am:0.535, pw:5.915, ps:5157.756 
FQ:6445.993, am:0.529, pw:5.920, ps:5651.659 
FQ:6321.335, am:0.522, pw:5.925, ps:5840.786 
FQ:6434.783, am:0.526, pw:5.900, ps:5399.522 
FQ:6371.681, am:0.526, pw:5.850, ps:5771.825 
FQ:6332.454, am:0.528, pw:5.915, ps:5757.418 
FQ:6377.325, am:0.524, pw:5.830, ps:5850.922 
FQ:6382.979, am:0.527, pw:5.830, ps:5874.758 
FQ:6434.783, am:0.532, pw:5.910, ps:5344.426 
FQ:6451.613, am:0.525, pw:5.905, ps:5326.081 
FQ:6440.383, am:0.533, pw:5.890, ps:5339.605 
FQ:6332.454, am:0.526, pw:5.915, ps:5836.155 
FQ:6338.028, am:0.524, pw:5.925, ps:5835.946 
FQ:6338.028, am:0.527, pw:5.915, ps:5558.396 
FQ:6451.613, am:0.538, pw:5.905, ps:5228.593 
FQ:6332.454, am:0.529, pw:5.915, ps:5699.291 
FQ:6388.642, am:0.530, pw:5.830, ps:5880.874 
FQ:6321.335, am:0.527, pw:5.915, ps:5669.655 
FQ:6354.810, am:0.525, pw:5.905, ps:5721.296 
FQ:6349.206, am:0.529, pw:5.925, ps:5770.912 
FQ:6451.613, am:0.535, pw:5.890, ps:5340.680 
FQ:6332.454, am:0.528, pw:5.915, ps:5545.751 
FQ:6377.325, am:0.525, pw:5.840, ps:5843.425 
FQ:6332.454, am:0.530, pw:5.905, ps:5336.687 
FQ:6360.424, am:0.522, pw:5.850, ps:5919.546 
FQ:6377.325, am:0.537, pw:5.815, ps:5789.026 
FQ:6382.979, am:0.531, pw:5.820, ps:5708.875 
FQ:6366.048, am:0.523, pw:5.845, ps:5690.798 
FQ:6371.681, am:0.519, pw:5.835, ps:5806.657 
FQ:6382.979, am:0.525, pw:5.830, ps:5843.532 
FQ:6394.316, am:0.524, pw:5.825, ps:5873.936 
FQ:6360.424, am:0.527, pw:5.850, ps:5759.011 
FQ:6377.325, am:0.525, pw:5.830, ps:5865.489 
FQ:6349.206, am:0.528, pw:5.910, ps:5518.977 
FQ:6360.424, am:0.523, pw:5.910, ps:5812.322 
FQ:6382.979, am:0.527, pw:5.835, ps:5776.265 
FQ:6377.325, am:0.525, pw:5.830, ps:5842.992 
FQ:6388.642, am:0.521, pw:5.825, ps:5880.631 
FQ:6377.325, am:0.524, pw:5.835, ps:5781.393 
FQ:6360.424, am:0.523, pw:5.915, ps:5692.691 
FQ:6349.206, am:0.525, pw:5.920, ps:5697.013 
FQ:6366.048, am:0.521, pw:5.915, ps:5848.880 
FQ:6388.642, am:0.526, pw:5.820, ps:5882.675 
FQ:6382.979, am:0.521, pw:5.830, ps:5904.252 
FQ:6382.979, am:0.520, pw:5.835, ps:5879.561 
FQ:6371.681, am:0.525, pw:5.845, ps:5796.429 
FQ:6332.454, am:0.525, pw:5.900, ps:5311.780 
FQ:6382.979, am:0.522, pw:5.825, ps:5930.832 
FQ:6377.325, am:0.524, pw:5.845, ps:5815.176 
FQ:6371.681, am:0.528, pw:5.810, ps:5823.896 
FQ:6382.979, am:0.530, pw:5.830, ps:5798.899 
FQ:6366.048, am:0.533, pw:5.915, ps:5686.101 
FQ:6349.206, am:0.527, pw:5.910, ps:5721.817 
FQ:6377.325, am:0.542, pw:5.840, ps:5527.164 
FQ:6377.325, am:0.521, pw:5.830, ps:5897.116 
FQ:6377.325, am:0.547, pw:5.830, ps:5772.998 
FQ:6382.979, am:0.524, pw:5.835, ps:5686.237 
FQ:6354.810, am:0.511, pw:5.910, ps:5678.243 
FQ:6462.882, am:0.533, pw:5.895, ps:5248.339 
FQ:6354.810, am:0.514, pw:5.915, ps:5628.797 
FQ:6366.048, am:0.522, pw:5.845, ps:5631.283 
FQ:6388.642, am:0.526, pw:5.830, ps:5816.469 
FQ:6338.028, am:0.523, pw:5.905, ps:5207.051 
FQ:6371.681, am:0.535, pw:5.840, ps:5477.606 
FQ:6382.979, am:0.534, pw:5.830, ps:5634.472 
FQ:6394.316, am:0.515, pw:5.805, ps:5892.191 
FQ:6371.681, am:0.562, pw:5.830, ps:5623.432 
FQ:6388.642, am:0.541, pw:5.825, ps:5587.877 
FQ:6382.979, am:0.552, pw:5.825, ps:5472.181 
FQ:6382.979, am:0.528, pw:5.825, ps:5640.403 
FQ:6377.325, am:0.523, pw:5.825, ps:5540.429 
FQ:6388.642, am:0.520, pw:5.800, ps:5730.508 
FQ:6388.642, am:0.540, pw:5.830, ps:5493.649 
FQ:6349.206, am:0.531, pw:5.900, ps:5152.596 
FQ:6377.325, am:0.533, pw:5.840, ps:5692.025 
FQ:6388.642, am:0.524, pw:5.820, ps:5655.929 
FQ:6400.000, am:0.536, pw:5.805, ps:5619.514 
FQ:6388.642, am:0.527, pw:5.815, ps:5708.322 
FQ:6388.642, am:0.534, pw:5.825, ps:5579.163 
FQ:6382.979, am:0.537, pw:5.820, ps:5377.602 
FQ:6394.316, am:0.516, pw:5.810, ps:5848.103 
