FQ:5940.594, am:1.626, pw:1.020, ps:6408.336 
FQ:5940.594, am:1.630, pw:1.025, ps:6418.248 
FQ:6030.151, am:1.624, pw:1.010, ps:6493.712 
FQ:6185.567, am:1.622, pw:1.000, ps:6700.145 
FQ:6000.000, am:1.629, pw:1.010, ps:6633.049 
FQ:6153.846, am:1.624, pw:1.000, ps:6699.812 
FQ:6185.567, am:1.625, pw:1.000, ps:6694.971 
FQ:6185.567, am:1.622, pw:1.000, ps:6711.232 
FQ:6185.567, am:1.626, pw:1.000, ps:6687.442 
FQ:6000.000, am:1.626, pw:1.015, ps:6440.335 
FQ:5970.149, am:1.662, pw:1.025, ps:6516.500 
FQ:6000.000, am:1.627, pw:1.010, ps:6562.515 
FQ:6000.000, am:1.632, pw:1.015, ps:6361.186 
FQ:6185.567, am:1.625, pw:1.000, ps:6705.475 
FQ:6000.000, am:1.627, pw:1.015, ps:6382.670 
FQ:6000.000, am:1.629, pw:1.015, ps:6459.842 
FQ:6185.567, am:1.619, pw:1.000, ps:6740.282 
FQ:6185.567, am:1.627, pw:1.000, ps:6768.556 
FQ:6185.567, am:1.627, pw:0.995, ps:6770.258 
FQ:6000.000, am:1.646, pw:1.015, ps:6457.806 
FQ:6217.617, am:1.633, pw:0.995, ps:6769.462 
FQ:6185.567, am:1.636, pw:0.995, ps:6755.024 
FQ:6030.151, am:1.634, pw:1.000, ps:6739.680 
FQ:6185.567, am:1.636, pw:0.995, ps:6765.698 
FQ:6030.151, am:1.632, pw:1.005, ps:6799.476 
FQ:6030.151, am:1.641, pw:1.005, ps:6678.706 
FQ:6217.617, am:1.637, pw:0.995, ps:6760.302 
FQ:6217.617, am:1.638, pw:0.995, ps:6750.616 
FQ:6030.151, am:1.640, pw:1.005, ps:6599.858 
FQ:6217.617, am:1.635, pw:0.995, ps:6767.186 
FQ:6185.567, am:1.633, pw:0.995, ps:6766.789 
FQ:6122.449, am:1.637, pw:1.000, ps:6710.477 
FQ:6217.617, am:1.636, pw:0.995, ps:6767.618 
FQ:6217.617, am:1.634, pw:0.995, ps:6779.466 
FQ:6060.606, am:1.636, pw:1.005, ps:6695.614 
FQ:6122.449, am:1.634, pw:1.000, ps:6718.717 
FQ:6060.606, am:1.639, pw:1.005, ps:6570.368 
FQ:6060.606, am:1.640, pw:1.010, ps:6416.430 
FQ:6060.606, am:1.638, pw:1.000, ps:6569.371 
FQ:6122.449, am:1.635, pw:1.000, ps:6640.465 
FQ:6217.617, am:1.636, pw:0.995, ps:6767.631 
FQ:6185.567, am:1.636, pw:0.995, ps:6758.779 
FQ:6217.617, am:1.636, pw:0.995, ps:6757.940 
FQ:6185.567, am:1.633, pw:0.995, ps:6775.292 
FQ:6060.606, am:1.639, pw:1.010, ps:6442.853 
FQ:6250.000, am:1.630, pw:0.975, ps:6836.998 
FQ:6217.617, am:1.637, pw:0.995, ps:6749.996 
FQ:6030.151, am:1.638, pw:1.005, ps:6454.972 
FQ:6030.151, am:1.639, pw:1.005, ps:6448.723 
FQ:6060.606, am:1.637, pw:1.005, ps:6432.484 
FQ:6060.606, am:1.635, pw:1.005, ps:6437.341 
FQ:6060.606, am:1.635, pw:1.005, ps:6496.114 
FQ:6185.567, am:1.631, pw:1.000, ps:6715.092 
FQ:6030.151, am:1.637, pw:1.005, ps:6410.972 
FQ:6060.606, am:1.636, pw:1.005, ps:6483.105 
FQ:6060.606, am:1.638, pw:1.005, ps:6433.282 
FQ:6030.151, am:1.634, pw:1.000, ps:6621.452 
FQ:6217.617, am:1.633, pw:0.995, ps:6757.825 
FQ:6060.606, am:1.634, pw:1.005, ps:6498.385 
FQ:6217.617, am:1.630, pw:0.995, ps:6723.194 
FQ:6217.617, am:1.630, pw:0.995, ps:6763.915 
FQ:6030.151, am:1.634, pw:1.000, ps:6526.222 
FQ:6217.617, am:1.621, pw:0.970, ps:6819.950 
FQ:6060.606, am:1.633, pw:1.000, ps:6563.274 
FQ:6060.606, am:1.634, pw:1.000, ps:6542.861 
FQ:6217.617, am:1.628, pw:0.990, ps:6774.892 
FQ:6217.617, am:1.631, pw:0.995, ps:6761.583 
FQ:6060.606, am:1.634, pw:1.005, ps:6508.868 
FQ:6185.567, am:1.630, pw:0.990, ps:6774.606 
FQ:6217.617, am:1.630, pw:0.995, ps:6777.185 
FQ:6185.567, am:1.631, pw:0.995, ps:6718.476 
FQ:6122.449, am:1.630, pw:1.000, ps:6625.156 
FQ:6185.567, am:1.632, pw:1.000, ps:6657.917 
FQ:6030.151, am:1.631, pw:1.000, ps:6588.510 
FQ:6060.606, am:1.633, pw:1.005, ps:6393.436 
FQ:6060.606, am:1.634, pw:1.005, ps:6474.449 
FQ:6217.617, am:1.628, pw:0.995, ps:6767.146 
FQ:6185.567, am:1.629, pw:0.995, ps:6726.328 
FQ:6217.617, am:1.618, pw:0.970, ps:6811.220 
FQ:6030.151, am:1.628, pw:1.000, ps:6630.983 
FQ:6060.606, am:1.632, pw:1.005, ps:6460.465 
FQ:6060.606, am:1.623, pw:0.995, ps:6682.741 
FQ:6217.617, am:1.630, pw:0.995, ps:6749.737 
FQ:6250.000, am:1.622, pw:0.970, ps:6813.247 
FQ:6185.567, am:1.627, pw:0.990, ps:6763.953 
FQ:6060.606, am:1.629, pw:1.005, ps:6548.829 
FQ:6250.000, am:1.624, pw:0.965, ps:6696.089 
FQ:6217.617, am:1.630, pw:0.995, ps:6762.783 
FQ:6185.567, am:1.627, pw:0.990, ps:6771.400 
FQ:6091.371, am:1.628, pw:0.995, ps:6650.835 
FQ:6217.617, am:1.627, pw:0.995, ps:6740.068 
FQ:6091.371, am:1.634, pw:1.005, ps:6416.335 
FQ:6153.846, am:1.629, pw:0.995, ps:6715.799 
FQ:6185.567, am:1.626, pw:0.990, ps:6775.228 
FQ:6091.371, am:1.628, pw:1.000, ps:6585.941 
FQ:6060.606, am:1.630, pw:1.000, ps:6414.037 
FQ:6091.371, am:1.629, pw:1.000, ps:6645.612 
FQ:6217.617, am:1.620, pw:0.990, ps:6805.841 
FQ:6217.617, am:1.631, pw:0.995, ps:6768.651 
FQ:6060.606, am:1.638, pw:1.000, ps:6409.704 
FQ:6217.617, am:1.636, pw:0.995, ps:6758.501 
FQ:6091.371, am:1.632, pw:1.000, ps:6597.178 
FQ:6091.371, am:1.624, pw:0.965, ps:6719.483 
FQ:6217.617, am:1.640, pw:0.995, ps:6742.215 
FQ:6217.617, am:1.635, pw:0.990, ps:6753.864 
FQ:6091.371, am:1.637, pw:0.995, ps:6620.113 
FQ:6185.567, am:1.636, pw:0.990, ps:6761.698 
FQ:6217.617, am:1.637, pw:0.990, ps:6757.248 
FQ:6250.000, am:1.630, pw:0.970, ps:6736.931 
FQ:6217.617, am:1.637, pw:0.990, ps:6753.411 
FQ:6217.617, am:1.635, pw:0.995, ps:6763.637 
FQ:6217.617, am:1.636, pw:0.995, ps:6753.884 
FQ:6091.371, am:1.638, pw:1.000, ps:6471.950 
FQ:6217.617, am:1.637, pw:0.995, ps:6751.906 
FQ:6217.617, am:1.638, pw:0.995, ps:6749.771 
FQ:6060.606, am:1.634, pw:0.995, ps:6628.849 
FQ:6060.606, am:1.641, pw:1.000, ps:6417.682 
FQ:6250.000, am:1.631, pw:0.965, ps:6754.406 
FQ:6060.606, am:1.640, pw:0.995, ps:6506.993 
FQ:6122.449, am:1.638, pw:0.990, ps:6677.345 
FQ:6091.371, am:1.641, pw:1.000, ps:6517.190 
FQ:6091.371, am:1.640, pw:0.995, ps:6511.069 
