FQ:5870.021, am:0.333, pw:2.420, ps:8829.942 
FQ:5870.021, am:0.336, pw:2.425, ps:8719.488 
FQ:5870.021, am:0.336, pw:2.425, ps:8738.795 
FQ:5870.021, am:0.332, pw:2.425, ps:8693.267 
FQ:5870.021, am:0.334, pw:2.420, ps:8727.146 
FQ:5870.021, am:0.334, pw:2.420, ps:8846.882 
FQ:5833.333, am:0.333, pw:2.430, ps:8699.564 
FQ:5821.206, am:0.353, pw:2.480, ps:8312.294 
FQ:5809.129, am:0.319, pw:2.485, ps:9251.085 
FQ:5833.333, am:0.312, pw:2.435, ps:9641.876 
FQ:5833.333, am:0.343, pw:2.440, ps:8555.840 
FQ:5857.741, am:0.333, pw:2.430, ps:8823.801 
FQ:5845.511, am:0.333, pw:2.430, ps:8828.787 
FQ:5870.021, am:0.334, pw:2.425, ps:8757.251 
FQ:5857.741, am:0.337, pw:2.425, ps:8773.071 
FQ:5857.741, am:0.336, pw:2.425, ps:8731.338 
FQ:5882.353, am:0.335, pw:2.420, ps:8510.864 
FQ:5857.741, am:0.335, pw:2.425, ps:8772.632 
FQ:5882.353, am:0.334, pw:2.420, ps:8648.137 
FQ:5882.353, am:0.334, pw:2.420, ps:8694.798 
FQ:5773.196, am:0.335, pw:2.455, ps:9072.198 
FQ:5870.021, am:0.333, pw:2.415, ps:8829.862 
FQ:5870.021, am:0.334, pw:2.415, ps:8795.190 
FQ:5870.021, am:0.334, pw:2.415, ps:8779.846 
FQ:5882.353, am:0.337, pw:2.415, ps:8748.992 
FQ:5882.353, am:0.336, pw:2.415, ps:8739.172 
FQ:5870.021, am:0.338, pw:2.415, ps:8694.565 
FQ:5882.353, am:0.337, pw:2.420, ps:8742.813 
FQ:5870.021, am:0.332, pw:2.420, ps:8741.029 
FQ:5894.737, am:0.336, pw:2.415, ps:8469.512 
FQ:5882.353, am:0.332, pw:2.415, ps:8756.515 
FQ:5870.021, am:0.333, pw:2.415, ps:8770.248 
FQ:5894.737, am:0.334, pw:2.415, ps:8682.403 
FQ:5882.353, am:0.336, pw:2.415, ps:8742.310 
FQ:5882.353, am:0.335, pw:2.420, ps:8822.939 
FQ:5894.737, am:0.337, pw:2.410, ps:8794.343 
FQ:5907.173, am:0.336, pw:2.410, ps:8641.712 
FQ:5907.173, am:0.336, pw:2.405, ps:8615.866 
FQ:5907.173, am:0.339, pw:2.405, ps:8504.371 
FQ:5882.353, am:0.334, pw:2.405, ps:8814.421 
FQ:5882.353, am:0.342, pw:2.420, ps:8664.729 
FQ:5894.737, am:0.340, pw:2.415, ps:8627.035 
FQ:5882.353, am:0.335, pw:2.430, ps:9034.097 
FQ:5882.353, am:0.336, pw:2.430, ps:9107.741 
FQ:5833.333, am:0.334, pw:2.450, ps:9452.685 
FQ:5882.353, am:0.327, pw:2.415, ps:9310.423 
FQ:5970.149, am:0.354, pw:2.455, ps:7233.483 
FQ:6355.932, am:0.362, pw:2.480, ps:6533.818 
FQ:5919.662, am:0.345, pw:2.410, ps:8507.423 
FQ:5894.737, am:0.336, pw:2.410, ps:8865.947 
FQ:5907.173, am:0.338, pw:2.405, ps:8838.303 
FQ:5907.173, am:0.336, pw:2.405, ps:8857.574 
FQ:5894.737, am:0.337, pw:2.405, ps:8869.417 
FQ:5919.662, am:0.339, pw:2.405, ps:8557.393 
FQ:5870.021, am:0.337, pw:2.490, ps:7821.077 
FQ:5870.021, am:0.334, pw:2.435, ps:9010.262 
FQ:6302.521, am:0.335, pw:2.485, ps:7552.308 
FQ:6302.521, am:0.338, pw:2.485, ps:7407.567 
FQ:5845.511, am:0.334, pw:2.435, ps:9137.861 
FQ:5882.353, am:0.338, pw:2.410, ps:8974.561 
FQ:5907.173, am:0.338, pw:2.415, ps:8729.211 
FQ:5882.353, am:0.348, pw:2.420, ps:8702.233 
FQ:5894.737, am:0.350, pw:2.420, ps:8679.700 
FQ:5907.173, am:0.348, pw:2.420, ps:8428.218 
FQ:6829.268, am:0.166, pw:1.025, ps:2217.022 
FQ:6936.416, am:0.166, pw:0.865, ps:20244.487 
FQ:7142.857, am:0.166, pw:0.700, ps:8037.524 
FQ:7407.407, am:0.163, pw:0.540, ps:9058.410 
FQ:0.000, am:0.355, pw:0.640, ps:10104.894 
FQ:6549.708, am:0.477, pw:21.360, ps:8931.575 
FQ:6369.427, am:0.286, pw:0.790, ps:10189.673 
FQ:6629.834, am:0.103, pw:0.910, ps:9588.044 
FQ:6622.517, am:0.103, pw:0.760, ps:9582.391 
FQ:6611.570, am:0.103, pw:0.610, ps:9568.419 
FQ:5807.623, am:0.476, pw:2.755, ps:10541.254 
FQ:nan, am:0.479, pw:1.030, ps:6739.203 
FQ:nan, am:0.479, pw:0.570, ps:6739.203 
FQ:6329.114, am:0.378, pw:2.405, ps:8876.661 
FQ:6451.613, am:0.381, pw:2.395, ps:9955.220 
FQ:5957.447, am:0.378, pw:2.395, ps:9781.635 
FQ:6465.517, am:0.379, pw:2.390, ps:10486.050 
FQ:6451.613, am:0.380, pw:2.395, ps:10435.744 
FQ:6451.613, am:0.380, pw:2.395, ps:10045.162 
FQ:6342.495, am:0.380, pw:2.400, ps:9264.246 
FQ:6315.789, am:0.396, pw:2.415, ps:8173.274 
FQ:6451.613, am:0.399, pw:2.400, ps:9971.231 
FQ:6437.768, am:0.396, pw:2.400, ps:9791.758 
FQ:6233.766, am:0.428, pw:2.045, ps:9331.248 
FQ:6410.256, am:0.429, pw:2.420, ps:9309.853 
FQ:6465.517, am:0.379, pw:2.390, ps:10504.215 
FQ:6329.114, am:0.378, pw:2.405, ps:9395.582 
FQ:6342.495, am:0.378, pw:2.400, ps:8830.327 
FQ:6465.517, am:0.378, pw:2.390, ps:10225.675 
FQ:6465.517, am:0.379, pw:2.390, ps:10064.118 
FQ:6465.517, am:0.378, pw:2.390, ps:10542.745 
FQ:6355.932, am:0.379, pw:2.405, ps:8459.426 
FQ:6451.613, am:0.379, pw:2.395, ps:10255.893 
FQ:6465.517, am:0.379, pw:2.390, ps:10549.443 
FQ:6355.932, am:0.379, pw:2.405, ps:8495.275 
FQ:6465.517, am:0.378, pw:2.390, ps:10515.031 
FQ:6465.517, am:0.379, pw:2.385, ps:10499.834 
FQ:5919.662, am:0.378, pw:2.395, ps:9145.231 
FQ:6479.482, am:0.379, pw:2.385, ps:10508.190 
FQ:6479.482, am:0.382, pw:2.385, ps:10401.281 
FQ:6465.517, am:0.382, pw:2.390, ps:10350.961 
FQ:6342.495, am:0.380, pw:2.400, ps:8488.150 
FQ:6355.932, am:0.381, pw:2.400, ps:8455.460 
FQ:6355.932, am:0.381, pw:2.400, ps:8410.855 
FQ:6465.517, am:0.379, pw:2.390, ps:10504.794 
FQ:6465.517, am:0.378, pw:2.390, ps:10313.837 
FQ:6465.517, am:0.378, pw:2.390, ps:10212.482 
FQ:6355.932, am:0.378, pw:2.400, ps:8467.907 
FQ:6465.517, am:0.380, pw:2.390, ps:10463.132 
FQ:6355.932, am:0.379, pw:2.395, ps:9551.817 
FQ:6355.932, am:0.379, pw:2.400, ps:8509.540 
FQ:6355.932, am:0.382, pw:2.395, ps:8852.992 
FQ:6465.517, am:0.378, pw:2.385, ps:10490.659 
FQ:6493.506, am:0.378, pw:2.380, ps:10507.214 
FQ:6479.482, am:0.379, pw:2.385, ps:10500.278 
FQ:6451.613, am:0.378, pw:2.390, ps:9850.898 
FQ:6355.932, am:0.380, pw:2.400, ps:8438.802 
FQ:6355.932, am:0.378, pw:2.400, ps:8477.129 
FQ:6479.482, am:0.378, pw:2.385, ps:10520.900 
FQ:6479.482, am:0.378, pw:2.385, ps:10505.330 
FQ:6355.932, am:0.378, pw:2.400, ps:8688.414 
FQ:6369.427, am:0.379, pw:2.400, ps:8465.041 
FQ:6451.613, am:0.379, pw:2.395, ps:9573.618 
FQ:6355.932, am:0.378, pw:2.405, ps:8909.354 
