FQ:6250.000, am:0.497, pw:4.865, ps:7458.306 
FQ:6250.000, am:0.495, pw:4.870, ps:7480.516 
FQ:6047.967, am:0.492, pw:4.875, ps:7509.937 
FQ:6060.606, am:0.491, pw:0.540, ps:7513.341 
FQ:6122.449, am:0.492, pw:0.535, ps:7203.537 
FQ:6105.263, am:0.490, pw:4.870, ps:7156.912 
FQ:7407.407, am:0.489, pw:0.545, ps:7685.032 
FQ:6118.143, am:0.490, pw:4.870, ps:7098.072 
FQ:6185.567, am:0.490, pw:0.530, ps:7198.192 
FQ:6105.263, am:0.490, pw:4.865, ps:7525.983 
FQ:6150.583, am:0.491, pw:4.855, ps:6564.085 
FQ:6118.143, am:0.496, pw:4.860, ps:7124.210 
FQ:6122.449, am:0.492, pw:0.535, ps:7434.911 
FQ:6086.044, am:0.494, pw:4.855, ps:7523.570 
FQ:6144.068, am:0.493, pw:4.810, ps:7010.572 
FQ:6131.078, am:0.493, pw:4.805, ps:7184.963 
FQ:6124.604, am:0.492, pw:4.850, ps:7545.614 
FQ:7476.636, am:0.490, pw:0.545, ps:7530.908 
FQ:6163.656, am:0.492, pw:4.840, ps:6608.837 
FQ:6131.078, am:0.494, pw:4.845, ps:7588.948 
FQ:6150.583, am:0.497, pw:4.830, ps:7531.309 
FQ:6137.566, am:0.494, pw:4.800, ps:7277.292 
FQ:6170.213, am:0.496, pw:4.835, ps:6377.992 
FQ:6157.113, am:0.494, pw:4.830, ps:7555.828 
FQ:6150.583, am:0.492, pw:4.835, ps:7598.033 
FQ:7339.450, am:0.489, pw:0.555, ps:7810.119 
FQ:6157.113, am:0.495, pw:4.820, ps:7592.440 
FQ:6060.606, am:0.492, pw:0.535, ps:7333.556 
FQ:6176.784, am:0.493, pw:4.775, ps:7601.666 
FQ:6170.213, am:0.492, pw:4.820, ps:7605.833 
FQ:6185.567, am:0.491, pw:0.530, ps:7229.459 
FQ:6170.213, am:0.496, pw:4.820, ps:7536.768 
FQ:6122.449, am:0.496, pw:0.535, ps:7320.595 
FQ:6196.581, am:0.496, pw:4.820, ps:6304.392 
FQ:6176.784, am:0.495, pw:4.775, ps:7559.514 
FQ:6176.784, am:0.496, pw:4.775, ps:7563.764 
FQ:6176.784, am:0.497, pw:4.770, ps:7558.125 
FQ:6176.784, am:0.496, pw:4.775, ps:7546.963 
FQ:6196.581, am:0.495, pw:4.805, ps:6577.161 
FQ:6183.369, am:0.494, pw:4.770, ps:7591.336 
FQ:6189.968, am:0.493, pw:4.760, ps:7480.515 
FQ:6183.369, am:0.496, pw:4.770, ps:7552.357 
FQ:6189.968, am:0.496, pw:4.760, ps:7570.055 
FQ:6189.968, am:0.492, pw:4.765, ps:7629.669 
FQ:6209.850, am:0.492, pw:4.810, ps:6543.148 
FQ:6189.968, am:0.494, pw:4.745, ps:7353.535 
FQ:6196.581, am:0.495, pw:4.760, ps:7598.100 
FQ:6189.968, am:0.498, pw:4.765, ps:7537.131 
FQ:6196.581, am:0.497, pw:4.755, ps:7618.529 
FQ:6203.209, am:0.496, pw:4.750, ps:7651.540 
FQ:6203.209, am:0.496, pw:4.750, ps:7620.876 
FQ:6216.506, am:0.494, pw:4.800, ps:6669.041 
FQ:6203.209, am:0.497, pw:4.755, ps:7611.120 
FQ:6203.209, am:0.499, pw:4.755, ps:7551.784 
FQ:6203.209, am:0.498, pw:4.750, ps:7585.484 
FQ:6203.209, am:0.497, pw:4.740, ps:7548.188 
FQ:6203.209, am:0.499, pw:4.745, ps:7131.717 
FQ:6209.850, am:0.497, pw:4.740, ps:7639.395 
FQ:6209.850, am:0.494, pw:4.745, ps:7679.957 
FQ:6203.209, am:0.495, pw:4.740, ps:7629.856 
FQ:6209.850, am:0.496, pw:4.740, ps:7641.030 
FQ:6196.581, am:0.499, pw:4.735, ps:7385.456 
FQ:6216.506, am:0.498, pw:4.745, ps:7584.467 
FQ:6203.209, am:0.497, pw:4.735, ps:7362.494 
FQ:6209.850, am:0.495, pw:4.740, ps:7669.114 
FQ:6216.506, am:0.495, pw:4.740, ps:7672.210 
FQ:6216.506, am:0.497, pw:4.745, ps:7608.896 
FQ:6223.176, am:0.497, pw:4.735, ps:7644.202 
FQ:6209.850, am:0.498, pw:4.735, ps:7618.251 
FQ:6216.506, am:0.499, pw:4.745, ps:7595.925 
FQ:6223.176, am:0.497, pw:4.735, ps:7629.073 
FQ:6209.850, am:0.501, pw:4.740, ps:7602.945 
FQ:6203.209, am:0.499, pw:4.745, ps:7613.036 
FQ:6216.506, am:0.498, pw:4.740, ps:7621.005 
FQ:6216.506, am:0.498, pw:4.735, ps:7628.943 
FQ:6216.506, am:0.496, pw:4.735, ps:7704.139 
FQ:6223.176, am:0.499, pw:4.730, ps:7611.230 
FQ:6015.038, am:0.498, pw:4.790, ps:6751.756 
FQ:6034.483, am:0.500, pw:4.805, ps:6241.280 
FQ:6223.176, am:0.501, pw:4.730, ps:7591.388 
FQ:6021.505, am:0.498, pw:4.800, ps:6595.150 
