FQ:6521.739, am:0.832, pw:0.910, ps:4658.952 
FQ:5617.978, am:0.835, pw:0.900, ps:4769.115 
FQ:5464.481, am:0.829, pw:0.900, ps:4720.593 
FQ:5464.481, am:0.829, pw:0.905, ps:4725.119 
FQ:5494.505, am:0.827, pw:0.900, ps:4730.942 
FQ:5494.505, am:0.828, pw:0.895, ps:4794.433 
FQ:5464.481, am:0.827, pw:0.900, ps:4726.896 
FQ:5617.978, am:0.828, pw:0.910, ps:4743.427 
FQ:5524.862, am:0.825, pw:0.890, ps:4814.909 
FQ:5524.862, am:0.824, pw:0.890, ps:4833.130 
FQ:5464.481, am:0.822, pw:0.900, ps:4718.603 
FQ:5494.505, am:0.824, pw:0.895, ps:4729.695 
FQ:5494.505, am:0.825, pw:0.895, ps:4722.661 
FQ:5494.505, am:0.828, pw:0.895, ps:4725.746 
FQ:5524.862, am:0.827, pw:0.890, ps:4725.200 
FQ:5617.978, am:0.833, pw:0.905, ps:4755.949 
FQ:5524.862, am:0.829, pw:0.890, ps:4718.897 
FQ:5649.718, am:0.833, pw:0.895, ps:4807.182 
FQ:5524.862, am:0.828, pw:0.895, ps:4749.977 
FQ:5555.556, am:0.829, pw:0.890, ps:4740.523 
FQ:5617.978, am:0.831, pw:0.885, ps:4869.889 
FQ:5524.862, am:0.832, pw:0.890, ps:4728.320 
FQ:5555.556, am:0.831, pw:0.885, ps:4766.526 
FQ:5649.718, am:0.836, pw:0.905, ps:4787.796 
FQ:5681.818, am:0.836, pw:0.885, ps:4855.774 
FQ:5649.718, am:0.835, pw:0.890, ps:4840.909 
FQ:5649.718, am:0.834, pw:0.885, ps:4889.033 
FQ:5617.978, am:0.832, pw:0.905, ps:4797.584 
FQ:5681.818, am:0.836, pw:0.880, ps:4879.653 
FQ:5649.718, am:0.840, pw:0.895, ps:4826.132 
FQ:5617.978, am:0.835, pw:0.905, ps:4807.936 
FQ:5555.556, am:0.814, pw:0.910, ps:4880.672 
FQ:5555.556, am:0.832, pw:0.885, ps:4747.000 
FQ:5586.592, am:0.831, pw:0.885, ps:4841.484 
FQ:5681.818, am:0.836, pw:0.885, ps:4872.295 
FQ:5586.592, am:0.832, pw:0.885, ps:4738.811 
FQ:5555.556, am:0.831, pw:0.885, ps:4761.382 
FQ:5586.592, am:0.833, pw:0.885, ps:4773.109 
FQ:5681.818, am:0.838, pw:0.880, ps:4875.355 
FQ:5681.818, am:0.837, pw:0.880, ps:4892.325 
FQ:5681.818, am:0.837, pw:0.880, ps:4877.025 
FQ:5617.978, am:0.835, pw:0.900, ps:4823.719 
FQ:5586.592, am:0.832, pw:0.880, ps:4802.856 
FQ:5617.978, am:0.832, pw:0.885, ps:4851.844 
FQ:5586.592, am:0.832, pw:0.885, ps:4839.859 
FQ:5586.592, am:0.832, pw:0.885, ps:4752.585 
FQ:5586.592, am:0.833, pw:0.885, ps:4749.940 
FQ:5586.592, am:0.833, pw:0.885, ps:4766.451 
FQ:5586.592, am:0.832, pw:0.885, ps:4763.321 
FQ:5555.556, am:0.833, pw:0.885, ps:4755.383 
FQ:5555.556, am:0.832, pw:0.885, ps:4762.475 
FQ:5586.592, am:0.834, pw:0.885, ps:4755.260 
FQ:5617.978, am:0.832, pw:0.880, ps:4813.802 
FQ:5649.718, am:0.816, pw:0.880, ps:4421.061 
FQ:5555.556, am:0.816, pw:0.890, ps:4334.228 
FQ:5555.556, am:0.821, pw:0.885, ps:4783.165 
FQ:5617.978, am:0.826, pw:0.880, ps:4793.373 
FQ:5649.718, am:0.827, pw:0.880, ps:4787.398 
FQ:5617.978, am:0.828, pw:0.885, ps:4791.517 
FQ:5649.718, am:0.827, pw:0.885, ps:4797.298 
FQ:5649.718, am:0.829, pw:0.880, ps:4904.298 
FQ:5617.978, am:0.826, pw:0.880, ps:4819.470 
FQ:5617.978, am:0.827, pw:0.880, ps:4861.640 
FQ:5681.818, am:0.830, pw:0.875, ps:4968.115 
FQ:5617.978, am:0.829, pw:0.880, ps:4795.526 
FQ:5617.978, am:0.826, pw:0.880, ps:4813.067 
FQ:5649.718, am:0.828, pw:0.880, ps:4799.358 
FQ:5617.978, am:0.813, pw:0.900, ps:4968.784 
FQ:5555.556, am:0.811, pw:0.915, ps:4938.710 
FQ:5586.592, am:0.811, pw:0.910, ps:4958.492 
FQ:5649.718, am:0.832, pw:0.895, ps:4897.064 
FQ:5649.718, am:0.828, pw:0.880, ps:4827.825 
FQ:5617.978, am:0.811, pw:0.910, ps:4976.909 
FQ:5649.718, am:0.827, pw:0.895, ps:4915.357 
FQ:5649.718, am:0.828, pw:0.880, ps:4883.946 
FQ:5617.978, am:0.828, pw:0.880, ps:4803.721 
FQ:5555.556, am:0.814, pw:0.910, ps:4917.667 
FQ:5649.718, am:0.832, pw:0.890, ps:4930.856 
FQ:5649.718, am:0.830, pw:0.880, ps:4794.550 
FQ:5555.556, am:0.813, pw:0.910, ps:4967.833 
FQ:5617.978, am:0.829, pw:0.880, ps:4792.604 
FQ:5617.978, am:0.828, pw:0.880, ps:4812.869 
FQ:5649.718, am:0.832, pw:0.880, ps:4777.620 
FQ:5649.718, am:0.830, pw:0.880, ps:4809.551 
FQ:5617.978, am:0.810, pw:0.905, ps:5013.794 
FQ:5681.818, am:0.829, pw:0.900, ps:4925.741 
FQ:5714.286, am:0.835, pw:0.885, ps:4943.351 
FQ:5649.718, am:0.830, pw:0.880, ps:4850.114 
FQ:5617.978, am:0.811, pw:0.905, ps:5007.555 
FQ:5586.592, am:0.811, pw:0.905, ps:4985.951 
FQ:5555.556, am:0.814, pw:0.910, ps:4941.915 
FQ:5681.818, am:0.831, pw:0.880, ps:4911.286 
FQ:5649.718, am:0.828, pw:0.880, ps:4810.346 
FQ:5649.718, am:0.830, pw:0.880, ps:4801.359 
FQ:5714.286, am:0.837, pw:0.875, ps:4954.796 
FQ:5617.978, am:0.830, pw:0.880, ps:4806.156 
FQ:5649.718, am:0.830, pw:0.880, ps:4798.137 
FQ:5649.718, am:0.822, pw:0.895, ps:4977.666 
FQ:5681.818, am:0.829, pw:0.875, ps:4948.562 
FQ:5586.592, am:0.814, pw:0.905, ps:4980.207 
FQ:5681.818, am:0.833, pw:0.875, ps:4873.981 
FQ:5649.718, am:0.831, pw:0.880, ps:4877.274 
FQ:5524.862, am:0.815, pw:0.915, ps:4940.988 
FQ:5714.286, am:0.837, pw:0.875, ps:4961.549 
FQ:5681.818, am:0.831, pw:0.880, ps:4961.744 
FQ:5681.818, am:0.835, pw:0.880, ps:4948.151 
FQ:5681.818, am:0.829, pw:0.880, ps:4819.011 
FQ:5649.718, am:0.831, pw:0.880, ps:4799.071 
FQ:5586.592, am:0.814, pw:0.905, ps:4995.402 
FQ:5649.718, am:0.832, pw:0.875, ps:4800.283 
FQ:5649.718, am:0.831, pw:0.880, ps:4818.627 
FQ:5649.718, am:0.828, pw:0.895, ps:4950.761 
FQ:5649.718, am:0.832, pw:0.880, ps:4795.846 
FQ:5681.818, am:0.835, pw:0.880, ps:4862.249 
FQ:5649.718, am:0.831, pw:0.880, ps:4811.399 
FQ:5617.978, am:0.833, pw:0.880, ps:4830.814 
FQ:5617.978, am:0.832, pw:0.880, ps:4810.186 
FQ:5649.718, am:0.832, pw:0.880, ps:4883.638 
