FQ:6011.730, am:0.454, pw:6.835, ps:12355.436 
FQ:6056.130, am:0.454, pw:6.785, ps:13528.301 
FQ:6056.130, am:0.454, pw:6.780, ps:12487.455 
FQ:6074.074, am:0.455, pw:6.765, ps:13491.431 
FQ:6078.577, am:0.455, pw:6.760, ps:13006.382 
FQ:6101.190, am:0.454, pw:6.735, ps:12464.572 
FQ:5970.149, am:0.456, pw:6.720, ps:14010.657 
FQ:6123.973, am:0.453, pw:6.715, ps:12789.131 
FQ:6119.403, am:0.453, pw:6.720, ps:12500.341 
FQ:6128.550, am:0.451, pw:6.710, ps:12691.504 
FQ:6128.550, am:0.456, pw:6.710, ps:12413.062 
FQ:6128.550, am:0.458, pw:6.705, ps:11233.825 
FQ:6133.134, am:0.452, pw:6.705, ps:11798.434 
FQ:6133.134, am:0.454, pw:6.705, ps:11913.659 
FQ:6142.322, am:0.456, pw:6.695, ps:13227.456 
FQ:6137.725, am:0.455, pw:6.695, ps:11191.089 
FQ:6046.863, am:0.466, pw:6.640, ps:13153.937 
FQ:5992.509, am:0.467, pw:6.695, ps:11859.529 
FQ:6137.725, am:0.465, pw:6.700, ps:11333.196 
FQ:6042.296, am:0.476, pw:6.635, ps:12570.073 
FQ:6146.927, am:0.479, pw:6.690, ps:11145.954 
FQ:6037.736, am:0.473, pw:6.645, ps:11344.912 
FQ:6024.096, am:0.451, pw:6.655, ps:12141.654 
FQ:6056.018, am:0.485, pw:6.625, ps:11243.777 
FQ:6156.156, am:0.486, pw:6.685, ps:12465.140 
FQ:6001.500, am:0.456, pw:6.680, ps:11616.780 
FQ:6019.564, am:0.455, pw:6.660, ps:11565.678 
FQ:6010.518, am:0.456, pw:6.675, ps:11593.562 
FQ:6010.518, am:0.453, pw:6.680, ps:13323.942 
FQ:6010.518, am:0.452, pw:6.670, ps:11638.382 
FQ:6010.518, am:0.453, pw:6.670, ps:12785.010 
FQ:6015.038, am:0.454, pw:6.670, ps:12012.271 
FQ:6024.096, am:0.457, pw:6.655, ps:11956.258 
FQ:6033.183, am:0.455, pw:6.650, ps:11968.919 
FQ:6033.183, am:0.457, pw:6.650, ps:11733.751 
FQ:6024.096, am:0.456, pw:6.660, ps:11792.364 
FQ:6037.736, am:0.458, pw:6.645, ps:11801.077 
FQ:6170.053, am:0.458, pw:6.670, ps:14040.538 
FQ:6170.053, am:0.458, pw:6.665, ps:14071.960 
FQ:6033.183, am:0.456, pw:6.640, ps:12397.984 
FQ:6037.736, am:0.454, pw:6.645, ps:12483.162 
FQ:6174.699, am:0.458, pw:6.660, ps:14066.235 
FQ:6042.296, am:0.456, pw:6.640, ps:12437.451 
FQ:6028.636, am:0.457, pw:6.650, ps:13626.888 
FQ:6033.183, am:0.454, pw:6.645, ps:13274.563 
