FQ:6206.206, am:0.347, pw:5.035, ps:6147.008 
FQ:6097.561, am:0.342, pw:5.015, ps:7268.830 
FQ:6109.980, am:0.341, pw:5.005, ps:7349.882 
FQ:6172.840, am:0.343, pw:4.990, ps:7390.589 
FQ:6179.197, am:0.342, pw:4.905, ps:7239.288 
FQ:6211.180, am:0.344, pw:4.920, ps:7389.407 
FQ:6217.617, am:0.342, pw:4.915, ps:7462.659 
FQ:6217.617, am:0.341, pw:4.910, ps:7477.961 
FQ:6204.757, am:0.340, pw:4.900, ps:7774.379 
FQ:6230.530, am:0.343, pw:4.900, ps:7513.219 
FQ:6204.757, am:0.345, pw:4.860, ps:7393.099 
FQ:6217.617, am:0.343, pw:4.865, ps:7659.488 
FQ:6211.180, am:0.342, pw:4.865, ps:7615.057 
FQ:6211.180, am:0.341, pw:4.860, ps:7549.665 
FQ:6237.006, am:0.342, pw:4.865, ps:7809.080 
FQ:6243.496, am:0.343, pw:4.865, ps:7738.372 
FQ:6250.000, am:0.345, pw:4.880, ps:7498.730 
FQ:6250.000, am:0.343, pw:4.880, ps:7525.006 
FQ:6250.000, am:0.343, pw:4.880, ps:7531.872 
FQ:6256.517, am:0.345, pw:4.875, ps:7487.225 
FQ:6256.517, am:0.345, pw:4.865, ps:7652.525 
FQ:6256.517, am:0.342, pw:4.865, ps:7656.489 
FQ:6263.048, am:0.343, pw:4.865, ps:7556.334 
FQ:6256.517, am:0.344, pw:4.860, ps:7650.239 
FQ:6250.000, am:0.344, pw:4.865, ps:7724.409 
FQ:7272.727, am:0.341, pw:0.560, ps:6370.800 
FQ:6263.048, am:0.347, pw:4.860, ps:7505.302 
FQ:7207.207, am:0.343, pw:0.565, ps:6603.796 
FQ:6276.151, am:0.345, pw:4.845, ps:7647.554 
FQ:7142.857, am:0.343, pw:0.570, ps:7007.029 
FQ:6276.151, am:0.346, pw:4.850, ps:7543.914 
FQ:6054.280, am:0.347, pw:4.840, ps:7587.998 
FQ:7207.207, am:0.343, pw:0.565, ps:6799.815 
FQ:7339.450, am:0.344, pw:0.550, ps:6306.551 
FQ:6289.308, am:0.345, pw:4.840, ps:7847.853 
FQ:6302.521, am:0.346, pw:4.840, ps:7725.387 
FQ:6124.604, am:0.345, pw:4.835, ps:7854.494 
FQ:7207.207, am:0.344, pw:0.565, ps:6932.767 
FQ:6302.521, am:0.345, pw:4.840, ps:7778.902 
FQ:6124.604, am:0.343, pw:4.825, ps:7792.179 
FQ:7339.450, am:0.343, pw:0.550, ps:6289.990 
FQ:6131.078, am:0.346, pw:4.820, ps:7701.833 
FQ:6137.566, am:0.344, pw:4.830, ps:7890.772 
FQ:7142.857, am:0.344, pw:0.565, ps:6968.061 
FQ:6131.078, am:0.345, pw:4.815, ps:7625.052 
FQ:6092.437, am:0.345, pw:4.830, ps:7866.104 
