FQ:5952.381, am:0.514, pw:0.855, ps:5053.192 
FQ:5847.953, am:0.516, pw:0.855, ps:5138.855 
FQ:5813.953, am:0.518, pw:0.860, ps:5413.903 
FQ:5882.353, am:0.507, pw:0.855, ps:5288.515 
FQ:5882.353, am:0.508, pw:0.850, ps:5351.701 
FQ:6060.606, am:0.503, pw:0.845, ps:5138.756 
FQ:5813.953, am:0.507, pw:0.855, ps:5485.143 
FQ:5847.953, am:0.508, pw:0.855, ps:5402.320 
FQ:6060.606, am:0.504, pw:0.845, ps:5134.262 
FQ:5813.953, am:0.507, pw:0.860, ps:5507.190 
FQ:5882.353, am:0.511, pw:0.855, ps:5326.184 
FQ:5813.953, am:0.507, pw:0.785, ps:5543.147 
FQ:6060.606, am:0.505, pw:0.840, ps:5166.770 
FQ:5847.953, am:0.508, pw:0.855, ps:5372.656 
FQ:6060.606, am:0.505, pw:0.840, ps:5143.661 
FQ:5847.953, am:0.509, pw:0.860, ps:5511.025 
FQ:5952.381, am:0.514, pw:0.850, ps:5017.716 
FQ:5988.024, am:0.514, pw:0.850, ps:5043.292 
FQ:5847.953, am:0.521, pw:0.855, ps:5316.807 
FQ:6140.351, am:0.391, pw:2.325, ps:7417.230 
FQ:5780.347, am:0.537, pw:0.865, ps:5286.204 
FQ:5780.347, am:0.536, pw:0.870, ps:5332.848 
FQ:6896.552, am:0.536, pw:0.580, ps:8541.028 
FQ:6060.606, am:0.508, pw:0.840, ps:5174.452 
FQ:5847.953, am:0.513, pw:0.860, ps:5524.280 
FQ:6060.606, am:0.511, pw:0.840, ps:5111.824 
FQ:6024.096, am:0.513, pw:0.850, ps:5108.037 
FQ:5952.381, am:0.514, pw:0.850, ps:5039.058 
FQ:5882.353, am:0.514, pw:0.855, ps:5455.548 
FQ:6956.522, am:0.514, pw:0.580, ps:8231.031 
FQ:5847.953, am:0.512, pw:0.855, ps:5474.139 
FQ:5847.953, am:0.512, pw:0.855, ps:5490.896 
FQ:6896.552, am:0.512, pw:0.580, ps:8524.118 
FQ:5847.953, am:0.511, pw:0.775, ps:5562.223 
FQ:6060.606, am:0.509, pw:0.840, ps:5159.710 
FQ:5882.353, am:0.511, pw:0.850, ps:5373.686 
FQ:5847.953, am:0.507, pw:0.775, ps:5618.533 
FQ:6060.606, am:0.509, pw:0.840, ps:5165.815 
FQ:5882.353, am:0.514, pw:0.850, ps:5312.036 
FQ:5882.353, am:0.512, pw:0.850, ps:5396.781 
FQ:5882.353, am:0.512, pw:0.850, ps:5320.528 
FQ:6024.096, am:0.508, pw:0.840, ps:5148.048 
FQ:5847.953, am:0.512, pw:0.855, ps:5542.574 
FQ:7017.544, am:0.512, pw:0.575, ps:8022.869 
FQ:5917.160, am:0.513, pw:0.845, ps:5170.194 
FQ:6060.606, am:0.509, pw:0.845, ps:5151.988 
FQ:5847.953, am:0.505, pw:0.775, ps:5660.055 
FQ:6060.606, am:0.508, pw:0.845, ps:5154.849 
FQ:6060.606, am:0.511, pw:0.845, ps:5112.836 
FQ:6060.606, am:0.510, pw:0.840, ps:5158.710 
FQ:5882.353, am:0.515, pw:0.850, ps:5279.555 
FQ:6060.606, am:0.509, pw:0.845, ps:5163.542 
FQ:6024.096, am:0.509, pw:0.840, ps:5158.573 
FQ:6024.096, am:0.509, pw:0.840, ps:5132.414 
FQ:6060.606, am:0.511, pw:0.840, ps:5110.298 
FQ:5882.353, am:0.511, pw:0.775, ps:5574.310 
FQ:6060.606, am:0.510, pw:0.840, ps:5126.377 
FQ:6060.606, am:0.511, pw:0.840, ps:5133.353 
