FQ:6388.206, am:0.958, pw:6.280, ps:5728.075 
FQ:6393.443, am:0.957, pw:6.265, ps:5800.048 
FQ:6409.203, am:0.951, pw:6.250, ps:5850.082 
FQ:6435.644, am:0.947, pw:6.250, ps:5687.912 
FQ:6467.662, am:0.948, pw:6.260, ps:5896.194 
FQ:6446.281, am:0.948, pw:6.235, ps:5740.832 
FQ:6317.539, am:0.949, pw:6.250, ps:5732.771 
FQ:6322.795, am:0.947, pw:6.245, ps:5722.790 
FQ:6317.539, am:0.948, pw:6.250, ps:5900.120 
FQ:6333.333, am:0.948, pw:6.235, ps:5726.476 
FQ:6446.281, am:0.948, pw:6.180, ps:5674.196 
FQ:6440.958, am:0.949, pw:6.170, ps:5627.015 
FQ:6456.954, am:0.951, pw:6.170, ps:5669.363 
FQ:6510.851, am:0.948, pw:6.220, ps:5879.626 
FQ:6451.613, am:0.947, pw:6.170, ps:5764.755 
FQ:6338.616, am:0.948, pw:6.225, ps:5758.247 
FQ:6456.954, am:0.947, pw:6.170, ps:5777.890 
FQ:6467.662, am:0.950, pw:6.160, ps:5730.935 
FQ:6505.421, am:0.947, pw:6.165, ps:5880.921 
FQ:6478.405, am:0.948, pw:6.160, ps:5845.993 
FQ:6456.954, am:0.947, pw:6.160, ps:5669.642 
FQ:6359.833, am:0.950, pw:6.135, ps:5913.685 
FQ:6375.839, am:0.948, pw:6.210, ps:5737.919 
FQ:6527.197, am:0.948, pw:6.130, ps:5911.269 
FQ:6532.663, am:0.949, pw:6.130, ps:5867.501 
FQ:6375.839, am:0.948, pw:6.150, ps:5782.811 
FQ:6489.185, am:0.948, pw:6.140, ps:5867.638 
FQ:6381.192, am:0.948, pw:6.200, ps:5728.775 
FQ:6370.495, am:0.947, pw:6.130, ps:5910.992 
FQ:6494.588, am:0.948, pw:6.130, ps:5837.194 
FQ:6370.495, am:0.949, pw:6.135, ps:5852.918 
FQ:6489.185, am:0.950, pw:6.130, ps:5675.585 
FQ:6381.192, am:0.947, pw:6.135, ps:5773.209 
FQ:6538.139, am:0.952, pw:6.115, ps:5845.767 
FQ:6375.839, am:0.948, pw:6.115, ps:5930.219 
FQ:6386.555, am:0.951, pw:6.125, ps:5862.806 
FQ:6386.555, am:0.947, pw:6.135, ps:5759.434 
FQ:6500.000, am:0.952, pw:6.135, ps:5768.093 
FQ:6391.926, am:0.949, pw:6.135, ps:5733.955 
FQ:6494.588, am:0.947, pw:6.135, ps:5870.208 
FQ:6391.926, am:0.948, pw:6.135, ps:5754.051 
FQ:6365.159, am:0.948, pw:6.145, ps:5725.599 
FQ:6543.624, am:0.950, pw:6.120, ps:5915.406 
FQ:6391.926, am:0.948, pw:6.115, ps:5916.264 
FQ:6386.555, am:0.947, pw:6.130, ps:5763.633 
FQ:6543.624, am:0.950, pw:6.120, ps:5924.382 
FQ:6391.926, am:0.948, pw:6.130, ps:5753.160 
FQ:6370.495, am:0.947, pw:6.145, ps:5717.089 
FQ:6402.696, am:0.951, pw:6.120, ps:5746.343 
FQ:6386.555, am:0.947, pw:6.110, ps:5919.569 
FQ:6370.495, am:0.947, pw:6.155, ps:5657.821 
FQ:6370.495, am:0.951, pw:6.140, ps:5631.536 
FQ:6386.555, am:0.948, pw:6.120, ps:5768.539 
FQ:6554.622, am:0.952, pw:6.105, ps:5897.776 
FQ:6365.159, am:0.948, pw:6.150, ps:5678.689 
FQ:6554.622, am:0.949, pw:6.120, ps:5914.695 
FQ:6554.622, am:0.951, pw:6.105, ps:5894.163 
FQ:6391.926, am:0.948, pw:6.120, ps:5766.112 
FQ:6375.839, am:0.947, pw:6.140, ps:5799.783 
FQ:6554.622, am:0.949, pw:6.115, ps:5919.403 
FQ:6402.696, am:0.949, pw:6.120, ps:5770.199 
FQ:6391.926, am:0.948, pw:6.115, ps:5788.716 
FQ:6560.135, am:0.950, pw:6.110, ps:5925.340 
FQ:6516.291, am:0.949, pw:6.105, ps:5856.453 
FQ:6370.495, am:0.948, pw:6.145, ps:5735.773 
FQ:6510.851, am:0.948, pw:6.130, ps:5899.722 
FQ:6402.696, am:0.951, pw:6.115, ps:5742.934 
FQ:6386.555, am:0.948, pw:6.115, ps:5857.768 
FQ:6365.159, am:0.947, pw:6.150, ps:5651.170 
FQ:6381.192, am:0.947, pw:6.130, ps:5851.174 
FQ:6391.926, am:0.949, pw:6.115, ps:5790.788 
FQ:6560.135, am:0.952, pw:6.110, ps:5882.230 
FQ:6402.696, am:0.948, pw:6.115, ps:5820.149 
FQ:6386.555, am:0.948, pw:6.135, ps:5764.413 
FQ:6375.839, am:0.949, pw:6.135, ps:5851.988 
FQ:6560.135, am:0.951, pw:6.110, ps:5939.005 
FQ:6565.657, am:0.948, pw:6.095, ps:5947.963 
FQ:6391.926, am:0.948, pw:6.130, ps:5790.594 
FQ:6386.555, am:0.948, pw:6.145, ps:5740.997 
FQ:6560.135, am:0.950, pw:6.125, ps:5912.125 
FQ:6397.306, am:0.949, pw:6.110, ps:5944.927 
FQ:6424.345, am:0.950, pw:6.090, ps:5752.610 
FQ:6424.345, am:0.948, pw:6.100, ps:5766.030 
FQ:6386.555, am:0.948, pw:6.135, ps:5828.008 
FQ:6440.678, am:0.950, pw:6.110, ps:5939.847 
FQ:6521.739, am:0.950, pw:6.110, ps:5834.897 
FQ:6397.306, am:0.948, pw:6.125, ps:5305.968 
FQ:6391.926, am:0.948, pw:6.140, ps:5740.447 
FQ:6408.094, am:0.952, pw:6.095, ps:5890.023 
FQ:6429.780, am:0.949, pw:6.090, ps:5761.608 
FQ:6391.926, am:0.948, pw:6.135, ps:5781.211 
FQ:6429.780, am:0.948, pw:6.095, ps:5766.422 
FQ:6386.555, am:0.947, pw:6.145, ps:5695.942 
FQ:6435.224, am:0.949, pw:6.120, ps:5921.090 
FQ:6429.780, am:0.952, pw:6.085, ps:5747.674 
FQ:6429.780, am:0.949, pw:6.095, ps:5763.253 
FQ:6391.926, am:0.948, pw:6.135, ps:5805.247 
FQ:6413.502, am:0.948, pw:6.060, ps:5668.878 
FQ:6391.926, am:0.949, pw:6.125, ps:5861.025 
FQ:6424.345, am:0.949, pw:6.085, ps:5767.072 
FQ:6397.306, am:0.949, pw:6.130, ps:5722.381 
FQ:6413.502, am:0.948, pw:6.120, ps:5883.842 
FQ:6576.728, am:0.948, pw:6.090, ps:5945.775 
FQ:6397.306, am:0.948, pw:6.130, ps:5789.481 
FQ:6391.926, am:0.951, pw:6.125, ps:5823.486 
FQ:6429.780, am:0.951, pw:6.050, ps:5703.156 
FQ:6418.919, am:0.948, pw:6.100, ps:5868.635 
FQ:6391.926, am:0.952, pw:6.110, ps:5819.729 
FQ:6424.345, am:0.948, pw:6.100, ps:5794.995 
FQ:6429.780, am:0.949, pw:6.085, ps:5766.986 
FQ:6462.585, am:0.949, pw:6.110, ps:5925.145 
FQ:6429.780, am:0.952, pw:6.105, ps:5800.167 
FQ:6413.502, am:0.949, pw:6.100, ps:5916.580 
FQ:6413.502, am:0.950, pw:6.105, ps:5940.799 
FQ:6435.224, am:0.949, pw:6.090, ps:5786.878 
FQ:6424.345, am:0.948, pw:6.055, ps:5705.079 
FQ:6429.780, am:0.948, pw:6.105, ps:5865.197 
FQ:6435.224, am:0.951, pw:6.050, ps:5732.058 
FQ:6429.780, am:0.950, pw:6.100, ps:5812.982 
FQ:6462.585, am:0.948, pw:6.095, ps:5960.909 
FQ:6424.345, am:0.948, pw:6.115, ps:5865.441 
FQ:6462.585, am:0.945, pw:6.105, ps:5976.902 
FQ:6297.872, am:0.943, pw:6.090, ps:5957.667 
FQ:6435.224, am:0.944, pw:6.095, ps:5911.333 
FQ:6303.237, am:0.943, pw:6.090, ps:5833.623 
FQ:6429.780, am:0.948, pw:6.110, ps:5869.535 
FQ:6440.678, am:0.949, pw:6.045, ps:5819.351 
FQ:6440.678, am:0.953, pw:6.095, ps:5736.064 
FQ:6473.595, am:0.949, pw:6.100, ps:5912.388 
FQ:6435.224, am:0.948, pw:6.095, ps:5908.137 
FQ:6435.224, am:0.948, pw:6.100, ps:5886.138 
FQ:6440.678, am:0.951, pw:6.040, ps:5810.454 
FQ:6446.141, am:0.953, pw:6.040, ps:5771.463 
FQ:6473.595, am:0.948, pw:6.095, ps:5915.059 
FQ:6297.872, am:0.947, pw:6.100, ps:5923.951 
FQ:6473.595, am:0.950, pw:6.100, ps:5951.578 
FQ:6303.237, am:0.948, pw:6.085, ps:5946.768 
FQ:6429.780, am:0.947, pw:6.105, ps:5863.641 
FQ:6473.595, am:0.950, pw:6.100, ps:5959.366 
FQ:6446.141, am:0.949, pw:6.080, ps:5779.991 
FQ:6308.610, am:0.948, pw:6.090, ps:5945.803 
FQ:6303.237, am:0.950, pw:6.100, ps:5805.692 
FQ:6446.141, am:0.952, pw:6.035, ps:5713.236 
FQ:6484.642, am:0.949, pw:6.090, ps:5960.784 
FQ:6303.237, am:0.950, pw:6.095, ps:5812.361 
FQ:6440.678, am:0.948, pw:6.095, ps:5886.278 
FQ:6440.678, am:0.947, pw:6.045, ps:5871.741 
FQ:6440.678, am:0.950, pw:6.035, ps:5774.187 
FQ:6479.113, am:0.949, pw:6.080, ps:5960.782 
FQ:6446.141, am:0.948, pw:6.045, ps:5848.686 
FQ:6446.141, am:0.949, pw:6.075, ps:5793.915 
FQ:6435.224, am:0.948, pw:6.050, ps:5873.612 
FQ:6446.141, am:0.949, pw:6.085, ps:5811.679 
