FQ:6473.214, am:0.884, pw:4.670, ps:5216.735 
FQ:6401.766, am:0.884, pw:4.650, ps:5314.448 
FQ:6401.766, am:0.886, pw:4.660, ps:5185.352 
FQ:6401.766, am:0.884, pw:4.645, ps:5277.009 
FQ:6250.000, am:0.887, pw:4.650, ps:5203.577 
FQ:6263.982, am:0.887, pw:4.640, ps:5192.131 
FQ:6270.997, am:0.885, pw:4.635, ps:5203.683 
FQ:6278.027, am:0.884, pw:4.635, ps:5209.431 
FQ:6263.982, am:0.884, pw:4.635, ps:5228.415 
FQ:6270.997, am:0.885, pw:4.630, ps:5295.365 
FQ:6250.000, am:0.883, pw:4.645, ps:5307.578 
FQ:6256.983, am:0.885, pw:4.645, ps:5257.925 
FQ:6263.982, am:0.884, pw:4.660, ps:5187.439 
FQ:6256.983, am:0.885, pw:4.650, ps:5216.944 
FQ:6292.135, am:0.888, pw:4.625, ps:5202.174 
FQ:6437.292, am:0.888, pw:4.635, ps:5298.636 
FQ:6292.135, am:0.884, pw:4.625, ps:5300.998 
FQ:6306.306, am:0.884, pw:4.625, ps:5242.416 
FQ:6306.306, am:0.883, pw:4.615, ps:5228.330 
FQ:6516.854, am:0.886, pw:4.620, ps:5336.181 
FQ:6306.306, am:0.888, pw:4.625, ps:5195.157 
FQ:6299.213, am:0.887, pw:4.635, ps:5336.126 
FQ:6313.416, am:0.884, pw:4.620, ps:5236.074 
FQ:6313.416, am:0.884, pw:4.620, ps:5230.327 
FQ:6313.416, am:0.884, pw:4.615, ps:5230.935 
FQ:6320.542, am:0.885, pw:4.615, ps:5223.413 
FQ:6313.416, am:0.889, pw:4.620, ps:5198.607 
FQ:6136.364, am:0.888, pw:4.625, ps:5210.286 
FQ:6129.398, am:0.887, pw:4.625, ps:5210.115 
FQ:6320.542, am:0.884, pw:4.625, ps:5294.277 
FQ:6320.542, am:0.884, pw:4.575, ps:5272.615 
FQ:6320.542, am:0.884, pw:4.615, ps:5223.003 
FQ:6320.542, am:0.886, pw:4.615, ps:5214.582 
FQ:6320.542, am:0.885, pw:4.630, ps:5333.854 
FQ:6143.345, am:0.885, pw:4.620, ps:5224.383 
FQ:6327.684, am:0.884, pw:4.625, ps:5303.372 
FQ:6320.542, am:0.888, pw:4.575, ps:5166.084 
FQ:6334.842, am:0.888, pw:4.630, ps:5275.968 
FQ:6320.542, am:0.887, pw:4.625, ps:5333.305 
FQ:6385.405, am:0.884, pw:4.625, ps:5357.724 
FQ:6546.275, am:0.884, pw:4.565, ps:5190.448 
FQ:6327.684, am:0.884, pw:4.570, ps:5292.967 
FQ:6150.342, am:0.884, pw:4.615, ps:5252.435 
FQ:6320.542, am:0.888, pw:4.570, ps:5194.087 
FQ:6157.355, am:0.888, pw:4.615, ps:5325.105 
FQ:6538.895, am:0.890, pw:4.565, ps:5131.424 
FQ:6392.694, am:0.885, pw:4.615, ps:5359.693 
FQ:6334.842, am:0.884, pw:4.620, ps:5343.589 
FQ:6334.842, am:0.883, pw:4.560, ps:5333.038 
FQ:6546.275, am:0.885, pw:4.560, ps:5146.890 
FQ:6157.355, am:0.886, pw:4.610, ps:5232.279 
FQ:6157.355, am:0.886, pw:4.610, ps:5231.794 
FQ:6385.405, am:0.886, pw:4.615, ps:5351.859 
FQ:6546.275, am:0.888, pw:4.565, ps:5217.154 
FQ:6342.016, am:0.887, pw:4.565, ps:5309.243 
FQ:6157.355, am:0.885, pw:4.615, ps:5230.867 
FQ:6157.355, am:0.886, pw:4.615, ps:5232.559 
FQ:6342.016, am:0.885, pw:4.615, ps:5364.861 
FQ:6334.842, am:0.884, pw:4.560, ps:5299.993 
FQ:6327.684, am:0.895, pw:4.565, ps:5231.172 
FQ:6356.413, am:0.892, pw:4.630, ps:5299.775 
FQ:6143.345, am:0.892, pw:4.625, ps:5202.166 
FQ:6143.345, am:0.888, pw:4.620, ps:5218.316 
FQ:6150.342, am:0.888, pw:4.620, ps:5210.580 
FQ:6538.895, am:0.887, pw:4.570, ps:5214.780 
FQ:6327.684, am:0.884, pw:4.560, ps:5272.977 
FQ:6342.016, am:0.884, pw:4.610, ps:5335.469 
FQ:6334.842, am:0.884, pw:4.615, ps:5346.535 
FQ:6342.016, am:0.885, pw:4.610, ps:5310.772 
FQ:6157.355, am:0.890, pw:4.615, ps:5301.264 
FQ:6320.542, am:0.887, pw:4.560, ps:5186.789 
FQ:6392.694, am:0.884, pw:4.615, ps:5370.308 
FQ:6157.355, am:0.883, pw:4.620, ps:5248.271 
FQ:6320.542, am:0.884, pw:4.555, ps:5203.487 
FQ:6342.016, am:0.884, pw:4.555, ps:5368.829 
FQ:6157.355, am:0.884, pw:4.620, ps:5245.402 
FQ:6164.384, am:0.886, pw:4.615, ps:5286.254 
FQ:6171.429, am:0.884, pw:4.610, ps:5339.219 
FQ:6164.384, am:0.884, pw:4.615, ps:5251.723 
FQ:6164.384, am:0.888, pw:4.620, ps:5319.553 
FQ:6164.384, am:0.888, pw:4.615, ps:5241.487 
FQ:6157.355, am:0.888, pw:4.610, ps:5218.889 
FQ:6334.842, am:0.884, pw:4.550, ps:5251.819 
FQ:6327.684, am:0.885, pw:4.555, ps:5215.991 
FQ:6171.429, am:0.886, pw:4.615, ps:5248.818 
FQ:6164.384, am:0.890, pw:4.610, ps:5216.912 
FQ:6171.429, am:0.888, pw:4.610, ps:5239.943 
FQ:6171.429, am:0.888, pw:4.615, ps:5239.651 
FQ:6327.684, am:0.884, pw:4.550, ps:5222.220 
FQ:6178.490, am:0.884, pw:4.620, ps:5256.148 
FQ:6171.429, am:0.885, pw:4.615, ps:5246.541 
FQ:6171.429, am:0.886, pw:4.610, ps:5251.624 
FQ:6407.323, am:0.887, pw:4.610, ps:5349.293 
FQ:6171.429, am:0.886, pw:4.610, ps:5248.324 
FQ:6171.429, am:0.885, pw:4.610, ps:5260.154 
FQ:6178.490, am:0.886, pw:4.610, ps:5337.306 
FQ:6407.323, am:0.890, pw:4.605, ps:5343.173 
FQ:6171.429, am:0.888, pw:4.610, ps:5235.598 
FQ:6422.018, am:0.891, pw:4.540, ps:5335.712 
FQ:6178.490, am:0.884, pw:4.605, ps:5262.893 
FQ:6185.567, am:0.884, pw:4.610, ps:5258.892 
FQ:6185.567, am:0.884, pw:4.610, ps:5280.302 
FQ:6356.413, am:0.884, pw:4.540, ps:5373.988 
FQ:6214.039, am:0.887, pw:4.595, ps:5228.698 
FQ:6178.490, am:0.888, pw:4.615, ps:5236.563 
FQ:6171.429, am:0.890, pw:4.610, ps:5225.101 
FQ:6185.567, am:0.884, pw:4.610, ps:5261.638 
FQ:6185.567, am:0.884, pw:4.610, ps:5255.241 
FQ:6206.897, am:0.884, pw:4.595, ps:5329.418 
FQ:6214.039, am:0.884, pw:4.590, ps:5263.599 
FQ:6214.039, am:0.884, pw:4.595, ps:5254.968 
FQ:6214.039, am:0.887, pw:4.590, ps:5263.804 
FQ:6356.413, am:0.884, pw:4.540, ps:5336.397 
FQ:6342.016, am:0.889, pw:4.540, ps:5270.992 
FQ:6334.842, am:0.889, pw:4.540, ps:5210.799 
FQ:6583.428, am:0.888, pw:4.535, ps:5299.047 
FQ:6214.039, am:0.895, pw:4.600, ps:5190.142 
FQ:6334.842, am:0.895, pw:4.620, ps:5249.981 
FQ:6221.198, am:0.895, pw:4.510, ps:5250.819 
FQ:6242.775, am:0.885, pw:4.510, ps:5253.570 
FQ:6473.988, am:0.885, pw:4.510, ps:5249.266 
FQ:6363.636, am:0.884, pw:4.560, ps:5056.224 
FQ:6221.198, am:0.885, pw:4.510, ps:5339.307 
FQ:6228.374, am:0.888, pw:4.515, ps:5294.572 
FQ:6459.054, am:0.891, pw:4.515, ps:5279.862 
FQ:6466.513, am:0.888, pw:4.515, ps:5239.286 
FQ:6378.132, am:0.896, pw:4.510, ps:5163.520 
FQ:6473.988, am:0.892, pw:4.515, ps:5198.787 
FQ:6235.566, am:0.885, pw:4.515, ps:5252.430 
FQ:6235.566, am:0.885, pw:4.500, ps:5335.111 
FQ:6459.054, am:0.886, pw:4.495, ps:5370.407 
FQ:6385.405, am:0.885, pw:4.495, ps:5316.800 
FQ:6378.132, am:0.889, pw:4.505, ps:5223.478 
FQ:6370.876, am:0.889, pw:4.515, ps:5227.499 
FQ:6378.132, am:0.888, pw:4.510, ps:5237.853 
FQ:6385.405, am:0.886, pw:4.500, ps:5324.060 
FQ:6385.405, am:0.885, pw:4.495, ps:5366.340 
FQ:6242.775, am:0.885, pw:4.515, ps:5246.364 
FQ:6378.132, am:0.888, pw:4.505, ps:5260.226 
FQ:6363.636, am:0.888, pw:4.515, ps:5167.408 
FQ:6378.132, am:0.889, pw:4.510, ps:5223.563 
FQ:6466.513, am:0.896, pw:4.520, ps:5189.037 
FQ:6342.016, am:0.896, pw:4.545, ps:5240.451 
