FQ:6302.844, am:1.798, pw:6.570, ps:10999.682 
FQ:6153.846, am:1.797, pw:6.580, ps:10890.919 
FQ:6153.846, am:1.798, pw:6.580, ps:10891.322 
FQ:6307.692, am:1.797, pw:6.565, ps:11027.684 
FQ:6163.328, am:1.797, pw:6.575, ps:10836.484 
FQ:6158.584, am:1.808, pw:6.575, ps:10826.124 
FQ:6153.846, am:1.808, pw:6.580, ps:10831.071 
FQ:6312.548, am:1.809, pw:6.570, ps:11147.314 
FQ:6158.584, am:1.797, pw:6.565, ps:11373.376 
FQ:6312.548, am:1.799, pw:6.560, ps:11080.033 
FQ:6158.584, am:1.798, pw:6.570, ps:10896.616 
FQ:6158.584, am:1.798, pw:6.575, ps:10901.966 
FQ:6312.548, am:1.810, pw:6.565, ps:11048.158 
FQ:6312.548, am:1.812, pw:6.565, ps:11040.464 
FQ:6163.328, am:1.810, pw:6.565, ps:11373.254 
FQ:6312.548, am:1.799, pw:6.560, ps:10944.445 
FQ:6163.328, am:1.800, pw:6.565, ps:10869.778 
FQ:6158.584, am:1.800, pw:6.575, ps:10901.780 
FQ:6317.411, am:1.801, pw:6.565, ps:10842.549 
FQ:6168.080, am:1.811, pw:6.565, ps:10828.661 
FQ:6168.080, am:1.813, pw:6.565, ps:10824.391 
FQ:6158.584, am:1.811, pw:6.575, ps:10837.129 
FQ:6302.844, am:1.801, pw:6.575, ps:10846.176 
FQ:6312.548, am:1.800, pw:6.570, ps:10858.389 
FQ:6168.080, am:1.800, pw:6.560, ps:11405.575 
FQ:6158.584, am:1.800, pw:6.575, ps:10908.219 
FQ:6312.548, am:1.800, pw:6.560, ps:10880.019 
FQ:6163.328, am:1.799, pw:6.570, ps:10908.981 
FQ:6163.328, am:1.800, pw:6.560, ps:11242.160 
FQ:6317.411, am:1.802, pw:6.555, ps:10943.249 
FQ:6206.362, am:1.786, pw:6.515, ps:11452.634 
FQ:6191.950, am:1.784, pw:6.535, ps:10852.708 
FQ:6196.747, am:1.785, pw:6.530, ps:11026.438 
FQ:6151.420, am:1.813, pw:6.420, ps:10432.563 
FQ:6074.766, am:1.816, pw:6.505, ps:10580.135 
FQ:6177.606, am:1.812, pw:6.550, ps:11289.422 
FQ:6196.747, am:1.812, pw:6.540, ps:11340.496 
FQ:6211.180, am:1.802, pw:6.520, ps:10845.487 
FQ:6211.180, am:1.802, pw:6.520, ps:10844.138 
FQ:6206.362, am:1.802, pw:6.520, ps:10853.256 
FQ:6206.362, am:1.802, pw:6.520, ps:10851.730 
FQ:6211.180, am:1.803, pw:6.515, ps:10849.388 
FQ:6211.180, am:1.803, pw:6.515, ps:10854.552 
FQ:6361.521, am:1.803, pw:6.520, ps:10801.397 
FQ:6211.180, am:1.804, pw:6.520, ps:10860.390 
FQ:6177.606, am:1.816, pw:6.555, ps:10779.511 
FQ:6206.362, am:1.814, pw:6.520, ps:10743.043 
FQ:6216.006, am:1.815, pw:6.515, ps:10777.197 
FQ:6211.180, am:1.802, pw:6.520, ps:10867.005 
FQ:6201.550, am:1.805, pw:6.520, ps:10817.381 
FQ:6201.550, am:1.804, pw:6.520, ps:10821.358 
FQ:6196.747, am:1.804, pw:6.530, ps:11350.129 
FQ:6206.362, am:1.816, pw:6.520, ps:10805.138 
FQ:6187.162, am:1.816, pw:6.545, ps:11319.685 
FQ:6187.162, am:1.815, pw:6.535, ps:11215.831 
FQ:6341.841, am:1.806, pw:6.535, ps:10926.645 
FQ:6191.950, am:1.805, pw:6.535, ps:11264.378 
FQ:6191.950, am:1.805, pw:6.525, ps:11185.959 
FQ:6196.747, am:1.805, pw:6.535, ps:11368.440 
FQ:6191.950, am:1.805, pw:6.530, ps:11170.683 
FQ:6211.180, am:1.806, pw:6.515, ps:10842.482 
FQ:6216.006, am:1.806, pw:6.510, ps:10941.361 
FQ:6211.180, am:1.807, pw:6.515, ps:10873.971 
FQ:6191.950, am:1.818, pw:6.535, ps:11152.172 
FQ:6206.362, am:1.819, pw:6.520, ps:10815.661 
FQ:6211.180, am:1.820, pw:6.515, ps:10812.587 
FQ:6216.006, am:1.808, pw:6.515, ps:10885.419 
FQ:6216.006, am:1.808, pw:6.510, ps:10885.477 
FQ:6216.006, am:1.810, pw:6.510, ps:10879.027 
FQ:6220.840, am:1.808, pw:6.510, ps:10846.259 
FQ:6371.406, am:1.821, pw:6.515, ps:10753.504 
FQ:6216.006, am:1.821, pw:6.510, ps:11183.099 
FQ:6216.006, am:1.823, pw:6.515, ps:10824.668 
FQ:6211.180, am:1.810, pw:6.525, ps:11499.418 
FQ:6220.840, am:1.810, pw:6.510, ps:10867.772 
FQ:6211.180, am:1.811, pw:6.520, ps:11437.045 
FQ:6211.180, am:1.810, pw:6.520, ps:11291.218 
FQ:6220.840, am:1.811, pw:6.505, ps:11370.177 
FQ:6225.681, am:1.812, pw:6.505, ps:11001.936 
FQ:6225.681, am:1.810, pw:6.505, ps:10895.259 
FQ:6220.840, am:1.812, pw:6.505, ps:11285.979 
FQ:6220.840, am:1.823, pw:6.505, ps:10900.712 
FQ:6225.681, am:1.822, pw:6.510, ps:10826.495 
FQ:6225.681, am:1.823, pw:6.505, ps:10927.713 
FQ:6220.840, am:1.811, pw:6.505, ps:10896.673 
FQ:6216.006, am:1.812, pw:6.515, ps:11419.464 
FQ:6225.681, am:1.812, pw:6.500, ps:11066.640 
FQ:6230.530, am:1.811, pw:6.500, ps:10987.404 
FQ:6225.681, am:1.824, pw:6.510, ps:10831.571 
FQ:6220.840, am:1.825, pw:6.505, ps:10820.338 
FQ:6220.840, am:1.825, pw:6.510, ps:10825.390 
FQ:6225.681, am:1.812, pw:6.495, ps:10855.890 
FQ:6225.681, am:1.814, pw:6.500, ps:10877.424 
FQ:6220.840, am:1.814, pw:6.505, ps:10850.254 
FQ:6230.530, am:1.814, pw:6.500, ps:11206.343 
FQ:6230.530, am:1.813, pw:6.500, ps:11075.062 
FQ:6225.681, am:1.815, pw:6.505, ps:10868.292 
FQ:6230.530, am:1.814, pw:6.500, ps:11193.642 
FQ:6230.530, am:1.813, pw:6.500, ps:11121.398 
FQ:6225.681, am:1.825, pw:6.500, ps:10854.828 
FQ:6225.681, am:1.826, pw:6.495, ps:11353.400 
FQ:6230.530, am:1.826, pw:6.495, ps:11031.847 
FQ:6230.530, am:1.814, pw:6.495, ps:11072.515 
FQ:6230.530, am:1.815, pw:6.500, ps:10893.786 
FQ:6230.530, am:1.815, pw:6.500, ps:10867.116 
FQ:6225.681, am:1.813, pw:6.495, ps:11284.231 
FQ:6235.386, am:1.820, pw:6.495, ps:10988.446 
FQ:6079.501, am:1.817, pw:6.500, ps:10884.094 
FQ:6230.530, am:1.818, pw:6.500, ps:10814.188 
FQ:6230.530, am:1.823, pw:6.500, ps:10809.296 
FQ:6230.530, am:1.822, pw:6.500, ps:11238.171 
