FQ:6393.606, am:0.940, pw:5.080, ps:10194.389 
FQ:6393.606, am:0.943, pw:5.070, ps:9956.335 
FQ:6212.425, am:0.932, pw:5.065, ps:10555.218 
FQ:6425.703, am:0.934, pw:5.065, ps:10294.987 
FQ:6224.900, am:0.932, pw:5.040, ps:10752.149 
FQ:6477.733, am:0.934, pw:5.035, ps:10300.539 
FQ:6237.425, am:0.932, pw:5.030, ps:11027.195 
FQ:6477.733, am:0.932, pw:5.030, ps:10332.069 
FQ:6281.662, am:0.933, pw:5.025, ps:10321.312 
FQ:6294.416, am:0.932, pw:5.020, ps:10152.327 
FQ:6275.304, am:0.938, pw:4.995, ps:10601.732 
FQ:6275.304, am:0.937, pw:5.000, ps:10644.442 
FQ:6281.662, am:0.939, pw:4.990, ps:10518.109 
FQ:6281.662, am:0.932, pw:4.985, ps:10653.319 
FQ:6281.662, am:0.933, pw:4.985, ps:10620.329 
FQ:6294.416, am:0.935, pw:4.990, ps:10075.298 
FQ:6313.646, am:0.935, pw:5.010, ps:10303.564 
FQ:6326.531, am:0.934, pw:5.000, ps:10313.812 
FQ:6294.416, am:0.932, pw:4.990, ps:9967.815 
FQ:6320.082, am:0.932, pw:5.005, ps:10326.671 
FQ:6294.416, am:0.935, pw:4.975, ps:10719.335 
FQ:6300.813, am:0.932, pw:4.980, ps:10059.406 
FQ:6294.416, am:0.933, pw:4.975, ps:10829.730 
FQ:6300.813, am:0.934, pw:4.980, ps:10042.470 
FQ:6326.531, am:0.934, pw:4.980, ps:10339.202 
FQ:6307.223, am:0.937, pw:4.970, ps:10316.610 
FQ:6332.993, am:0.936, pw:4.980, ps:10298.124 
FQ:6320.082, am:0.938, pw:4.970, ps:9948.680 
FQ:6313.646, am:0.934, pw:4.970, ps:10009.215 
FQ:6339.468, am:0.932, pw:4.970, ps:10350.506 
FQ:6339.468, am:0.932, pw:4.975, ps:10348.050 
FQ:6307.223, am:0.933, pw:4.960, ps:10512.338 
FQ:6352.459, am:0.935, pw:4.965, ps:10329.015 
FQ:6339.468, am:0.935, pw:4.970, ps:10324.890 
FQ:6345.957, am:0.936, pw:4.970, ps:10314.045 
