FQ:6230.032, am:0.351, pw:6.370, ps:8036.677 
FQ:6265.060, am:0.353, pw:6.270, ps:7739.186 
FQ:6265.060, am:0.352, pw:6.270, ps:7904.792 
FQ:6270.096, am:0.348, pw:6.255, ps:7954.617 
FQ:6280.193, am:0.349, pw:6.255, ps:8137.306 
FQ:6280.193, am:0.349, pw:6.250, ps:8022.852 
FQ:6280.193, am:0.348, pw:6.245, ps:8063.770 
FQ:6285.254, am:0.348, pw:6.250, ps:8102.819 
FQ:6280.193, am:0.349, pw:6.245, ps:8005.757 
FQ:6275.141, am:0.349, pw:6.245, ps:7964.671 
FQ:6290.323, am:0.349, pw:6.255, ps:8137.922 
FQ:6295.400, am:0.355, pw:6.245, ps:7773.671 
FQ:6280.193, am:0.350, pw:6.245, ps:7950.573 
FQ:6295.400, am:0.352, pw:6.245, ps:8074.921 
FQ:6295.400, am:0.346, pw:6.245, ps:8117.463 
FQ:6158.833, am:0.348, pw:6.235, ps:8110.990 
FQ:6158.833, am:0.353, pw:6.225, ps:7912.726 
FQ:6326.034, am:0.351, pw:6.235, ps:8129.902 
FQ:6326.034, am:0.349, pw:6.235, ps:8150.561 
FQ:7207.207, am:0.348, pw:0.560, ps:6847.751 
FQ:6209.150, am:0.351, pw:6.230, ps:8122.283 
FQ:6178.862, am:0.347, pw:6.230, ps:8221.346 
FQ:6199.021, am:0.351, pw:6.220, ps:7945.977 
FQ:7339.450, am:0.346, pw:0.550, ps:6544.442 
FQ:6204.082, am:0.349, pw:6.225, ps:8118.198 
FQ:7142.857, am:0.348, pw:0.565, ps:7174.548 
FQ:6204.082, am:0.351, pw:6.220, ps:8006.312 
FQ:7339.450, am:0.346, pw:0.555, ps:6642.746 
FQ:6173.842, am:0.347, pw:6.220, ps:8210.164 
FQ:6173.842, am:0.349, pw:6.225, ps:8124.320 
FQ:6173.842, am:0.349, pw:6.225, ps:8144.825 
FQ:6173.842, am:0.353, pw:6.230, ps:8056.665 
FQ:6209.150, am:0.348, pw:6.215, ps:8084.474 
FQ:7272.727, am:0.347, pw:0.555, ps:6718.517 
FQ:6346.623, am:0.350, pw:6.230, ps:8137.957 
FQ:6183.889, am:0.349, pw:6.225, ps:8183.529 
FQ:6183.889, am:0.351, pw:6.225, ps:8122.863 
FQ:6183.889, am:0.349, pw:6.225, ps:8184.906 
FQ:6214.227, am:0.352, pw:6.220, ps:8117.378 
FQ:7207.207, am:0.345, pw:0.560, ps:6889.183 
FQ:6183.889, am:0.348, pw:6.225, ps:8187.702 
FQ:6214.227, am:0.350, pw:6.215, ps:8102.883 
FQ:6209.150, am:0.349, pw:6.210, ps:8071.573 
