FQ:5161.290, am:0.305, pw:0.770, ps:7561.168 
FQ:5161.290, am:0.306, pw:0.775, ps:7574.289 
FQ:5161.290, am:0.306, pw:0.775, ps:7537.206 
FQ:5263.158, am:0.306, pw:0.755, ps:7425.909 
FQ:5161.290, am:0.304, pw:0.780, ps:7618.693 
FQ:5194.805, am:0.306, pw:0.770, ps:7559.499 
FQ:5228.758, am:0.306, pw:0.765, ps:7531.659 
FQ:5228.758, am:0.305, pw:0.760, ps:7507.895 
FQ:5298.013, am:0.304, pw:0.750, ps:7491.283 
FQ:5333.333, am:0.303, pw:0.750, ps:7500.773 
FQ:5298.013, am:0.303, pw:0.755, ps:7532.532 
FQ:5333.333, am:0.303, pw:0.750, ps:7471.723 
FQ:5194.805, am:0.306, pw:0.765, ps:7582.102 
FQ:5194.805, am:0.306, pw:0.770, ps:7581.388 
FQ:5161.290, am:0.304, pw:0.775, ps:7615.929 
FQ:5194.805, am:0.306, pw:0.770, ps:7582.191 
FQ:5263.158, am:0.306, pw:0.755, ps:7534.630 
FQ:5194.805, am:0.304, pw:0.765, ps:7593.479 
FQ:5228.758, am:0.305, pw:0.765, ps:7590.591 
FQ:5298.013, am:0.304, pw:0.750, ps:7526.071 
FQ:5333.333, am:0.305, pw:0.750, ps:7517.539 
FQ:5333.333, am:0.306, pw:0.745, ps:7464.706 
FQ:5263.158, am:0.305, pw:0.755, ps:7596.543 
FQ:5369.128, am:0.304, pw:0.750, ps:7505.206 
FQ:5298.013, am:0.305, pw:0.750, ps:7543.820 
FQ:5298.013, am:0.307, pw:0.755, ps:7526.182 
FQ:5369.128, am:0.305, pw:0.745, ps:7508.890 
FQ:5263.158, am:0.305, pw:0.760, ps:7605.799 
FQ:5263.158, am:0.308, pw:0.755, ps:7557.496 
FQ:5298.013, am:0.305, pw:0.760, ps:7590.626 
FQ:5298.013, am:0.306, pw:0.750, ps:7520.337 
FQ:5298.013, am:0.307, pw:0.755, ps:7533.239 
FQ:5298.013, am:0.305, pw:0.750, ps:7573.465 
FQ:5369.128, am:0.304, pw:0.745, ps:7516.163 
FQ:5298.013, am:0.305, pw:0.755, ps:7621.334 
FQ:5333.333, am:0.306, pw:0.750, ps:7520.265 
FQ:5298.013, am:0.305, pw:0.750, ps:7580.060 
FQ:5333.333, am:0.304, pw:0.745, ps:7504.924 
FQ:5263.158, am:0.304, pw:0.760, ps:7596.417 
FQ:5333.333, am:0.304, pw:0.745, ps:7554.892 
FQ:5333.333, am:0.307, pw:0.745, ps:7467.628 
FQ:5298.013, am:0.305, pw:0.750, ps:7557.050 
FQ:5333.333, am:0.305, pw:0.750, ps:7561.710 
FQ:5298.013, am:0.306, pw:0.755, ps:7544.065 
FQ:5298.013, am:0.305, pw:0.750, ps:7530.601 
FQ:5333.333, am:0.305, pw:0.745, ps:7571.434 
FQ:5369.128, am:0.304, pw:0.745, ps:7517.379 
FQ:5095.541, am:0.326, pw:0.790, ps:7080.822 
FQ:5000.000, am:0.323, pw:0.805, ps:6800.678 
FQ:5128.205, am:0.326, pw:0.780, ps:7101.465 
FQ:5747.126, am:0.378, pw:0.880, ps:7037.332 
FQ:5714.286, am:0.379, pw:0.880, ps:7026.259 
FQ:7142.857, am:0.379, pw:0.575, ps:6626.364 
FQ:5681.818, am:0.402, pw:0.885, ps:7008.073 
FQ:6956.522, am:0.402, pw:0.585, ps:7054.283 
FQ:5369.128, am:0.340, pw:0.745, ps:8415.332 
FQ:5442.177, am:0.340, pw:0.740, ps:8378.027 
FQ:5369.128, am:0.340, pw:0.740, ps:8428.928 
FQ:5405.405, am:0.339, pw:0.735, ps:8431.052 
FQ:5442.177, am:0.349, pw:0.740, ps:7965.427 
FQ:5405.405, am:0.331, pw:0.740, ps:8639.824 
FQ:5405.405, am:0.343, pw:0.735, ps:8432.373 
FQ:5442.177, am:0.340, pw:0.735, ps:8317.002 
FQ:5405.405, am:0.340, pw:0.735, ps:8384.272 
FQ:5405.405, am:0.341, pw:0.735, ps:8404.386 
FQ:5442.177, am:0.339, pw:0.730, ps:8399.620 
FQ:5442.177, am:0.343, pw:0.730, ps:8318.690 
FQ:5442.177, am:0.338, pw:0.735, ps:8473.753 
FQ:5479.452, am:0.341, pw:0.725, ps:8252.368 
FQ:5405.405, am:0.340, pw:0.735, ps:8389.220 
FQ:5442.177, am:0.339, pw:0.735, ps:8395.828 
FQ:5369.128, am:0.339, pw:0.735, ps:8412.296 
FQ:5405.405, am:0.339, pw:0.735, ps:8427.801 
FQ:5479.452, am:0.339, pw:0.730, ps:8401.392 
FQ:5479.452, am:0.342, pw:0.730, ps:8283.644 
FQ:5442.177, am:0.341, pw:0.735, ps:8389.205 
FQ:5479.452, am:0.343, pw:0.730, ps:8295.731 
FQ:5442.177, am:0.340, pw:0.730, ps:8382.904 
FQ:5479.452, am:0.341, pw:0.730, ps:8325.710 
FQ:5479.452, am:0.340, pw:0.725, ps:8359.342 
FQ:5442.177, am:0.340, pw:0.730, ps:8396.850 
FQ:5405.405, am:0.339, pw:0.740, ps:8424.584 
FQ:5405.405, am:0.338, pw:0.740, ps:8455.646 
FQ:5405.405, am:0.342, pw:0.740, ps:8375.223 
FQ:5479.452, am:0.338, pw:0.730, ps:8353.873 
FQ:6486.486, am:1.448, pw:0.940, ps:6446.352 
FQ:5333.333, am:0.346, pw:0.750, ps:8320.395 
FQ:5298.013, am:0.353, pw:0.755, ps:8220.625 
FQ:5298.013, am:0.350, pw:0.750, ps:8249.804 
FQ:5298.013, am:0.352, pw:0.755, ps:8269.797 
FQ:5442.177, am:0.355, pw:0.730, ps:8442.421 
FQ:5298.013, am:0.351, pw:0.755, ps:8265.954 
FQ:5479.452, am:0.354, pw:0.740, ps:7918.071 
FQ:5333.333, am:0.345, pw:0.750, ps:8284.541 
FQ:5298.013, am:0.350, pw:0.750, ps:8100.491 
FQ:5517.241, am:0.355, pw:0.735, ps:8173.421 
FQ:5333.333, am:0.360, pw:0.745, ps:8301.723 
FQ:5263.158, am:0.358, pw:0.760, ps:8010.336 
FQ:5517.241, am:0.351, pw:0.720, ps:8339.503 
FQ:5333.333, am:0.347, pw:0.750, ps:8313.727 
FQ:5517.241, am:0.346, pw:0.735, ps:8172.365 
FQ:5479.452, am:0.353, pw:0.725, ps:8228.846 
FQ:5369.128, am:0.348, pw:0.745, ps:8340.702 
FQ:5263.158, am:0.369, pw:0.760, ps:7899.678 
FQ:5405.405, am:0.371, pw:0.750, ps:7774.730 
FQ:5479.452, am:0.324, pw:0.730, ps:9079.797 
FQ:5128.205, am:0.369, pw:0.775, ps:7628.082 
FQ:5161.290, am:0.373, pw:0.775, ps:7628.236 
FQ:5298.013, am:0.374, pw:0.755, ps:7950.206 
FQ:5228.758, am:0.352, pw:0.770, ps:8429.497 
FQ:7272.727, am:0.352, pw:0.835, ps:7312.114 
FQ:6060.606, am:0.356, pw:0.840, ps:7066.782 
FQ:5405.405, am:0.361, pw:0.740, ps:9806.996 
FQ:6024.096, am:0.355, pw:0.840, ps:6955.339 
FQ:5228.758, am:0.359, pw:0.770, ps:8150.147 
FQ:6024.096, am:0.359, pw:0.845, ps:6997.092 
FQ:5298.013, am:0.356, pw:0.765, ps:8212.508 
FQ:7185.629, am:0.351, pw:0.850, ps:7131.230 
FQ:6060.606, am:0.352, pw:0.835, ps:7353.395 
FQ:5333.333, am:0.343, pw:0.765, ps:8702.958 
FQ:6172.840, am:0.350, pw:0.830, ps:7677.668 
FQ:5333.333, am:0.354, pw:0.760, ps:8220.474 
FQ:5479.452, am:0.370, pw:0.740, ps:7432.651 
FQ:6097.561, am:0.353, pw:0.835, ps:7449.132 
FQ:5333.333, am:0.345, pw:0.755, ps:8714.111 
FQ:5333.333, am:0.356, pw:0.765, ps:8245.587 
FQ:5333.333, am:0.343, pw:0.765, ps:8825.076 
FQ:5405.405, am:0.343, pw:0.735, ps:8679.752 
FQ:6134.969, am:0.352, pw:0.835, ps:7537.421 
FQ:5517.241, am:0.343, pw:0.730, ps:8706.719 
FQ:6134.969, am:0.352, pw:0.835, ps:7580.395 
FQ:5479.452, am:0.346, pw:0.725, ps:8573.613 
FQ:5917.160, am:0.356, pw:0.850, ps:6144.237 
FQ:5263.158, am:0.345, pw:0.765, ps:8477.078 
FQ:5405.405, am:0.347, pw:0.735, ps:8415.348 
FQ:5555.556, am:0.344, pw:0.725, ps:8308.469 
FQ:5917.160, am:0.343, pw:0.845, ps:6124.730 
FQ:7207.207, am:0.343, pw:0.560, ps:6779.551 
FQ:5555.556, am:0.340, pw:0.725, ps:8403.754 
FQ:5442.177, am:0.346, pw:0.730, ps:8395.058 
FQ:5369.128, am:0.345, pw:0.740, ps:8378.480 
FQ:5442.177, am:0.344, pw:0.730, ps:8463.820 
FQ:5517.241, am:0.374, pw:0.725, ps:7600.020 
FQ:5442.177, am:0.345, pw:0.730, ps:8418.978 
FQ:5298.013, am:0.342, pw:0.765, ps:8380.636 
FQ:5555.556, am:0.344, pw:0.725, ps:8288.321 
FQ:7272.727, am:0.342, pw:0.550, ps:6727.210 
FQ:6024.096, am:0.345, pw:0.830, ps:6858.648 
FQ:5517.241, am:0.342, pw:0.725, ps:8368.468 
FQ:5555.556, am:0.341, pw:0.725, ps:8344.265 
