FQ:6000.000, am:0.314, pw:7.015, ps:11509.936 
FQ:6034.483, am:0.313, pw:6.980, ps:11684.459 
FQ:6204.906, am:0.312, pw:6.955, ps:13666.367 
FQ:6056.236, am:0.311, pw:6.950, ps:13176.268 
FQ:6051.873, am:0.311, pw:6.955, ps:11352.409 
FQ:6060.606, am:0.310, pw:6.945, ps:11424.754 
FQ:6060.606, am:0.309, pw:6.945, ps:11670.158 
FQ:6060.606, am:0.310, pw:6.950, ps:11667.876 
FQ:6069.364, am:0.314, pw:6.930, ps:12751.205 
FQ:6069.364, am:0.314, pw:6.935, ps:11303.360 
FQ:6073.753, am:0.312, pw:6.930, ps:11333.393 
FQ:6064.982, am:0.313, pw:6.940, ps:11299.615 
FQ:6073.753, am:0.314, pw:6.935, ps:11236.697 
FQ:6104.651, am:0.314, pw:6.905, ps:13532.720 
FQ:6082.549, am:0.313, pw:6.920, ps:10739.597 
FQ:6109.091, am:0.314, pw:6.900, ps:13618.216 
FQ:6082.549, am:0.313, pw:6.915, ps:10726.965 
FQ:6117.990, am:0.312, pw:6.890, ps:13490.314 
FQ:6117.990, am:0.312, pw:6.880, ps:11370.974 
FQ:6117.990, am:0.313, pw:6.885, ps:11283.100 
FQ:6122.449, am:0.312, pw:6.875, ps:11509.505 
FQ:6131.387, am:0.313, pw:6.865, ps:12484.140 
FQ:6126.915, am:0.314, pw:6.875, ps:11241.272 
FQ:6131.387, am:0.314, pw:6.865, ps:11700.674 
FQ:6135.866, am:0.314, pw:6.865, ps:11638.361 
FQ:6131.387, am:0.313, pw:6.870, ps:11295.425 
FQ:6131.387, am:0.315, pw:6.865, ps:11228.204 
FQ:5998.537, am:0.314, pw:6.850, ps:13132.285 
FQ:5998.537, am:0.315, pw:6.850, ps:13014.410 
FQ:5998.537, am:0.316, pw:6.850, ps:13023.183 
FQ:6007.326, am:0.314, pw:6.850, ps:13585.051 
FQ:6140.351, am:0.315, pw:6.865, ps:11209.152 
FQ:6140.351, am:0.313, pw:6.860, ps:11310.252 
FQ:6144.843, am:0.314, pw:6.850, ps:11306.207 
FQ:6002.928, am:0.314, pw:6.845, ps:11638.835 
FQ:6002.928, am:0.313, pw:6.845, ps:12154.942 
FQ:6149.341, am:0.315, pw:6.850, ps:10689.503 
