FQ:5780.347, am:0.463, pw:0.875, ps:6755.933 
FQ:5847.953, am:0.463, pw:0.865, ps:6598.279 
FQ:5882.353, am:0.470, pw:0.860, ps:6891.998 
FQ:5882.353, am:0.444, pw:0.850, ps:7783.203 
FQ:5988.024, am:0.479, pw:0.850, ps:7623.898 
FQ:5988.024, am:0.468, pw:0.845, ps:7456.102 
FQ:5952.381, am:0.474, pw:0.850, ps:7053.869 
FQ:5813.953, am:0.469, pw:0.865, ps:6598.342 
FQ:5813.953, am:0.466, pw:0.865, ps:6564.663 
FQ:5882.353, am:0.469, pw:0.855, ps:6799.726 
FQ:5813.953, am:0.469, pw:0.865, ps:6487.401 
FQ:6211.180, am:0.469, pw:0.845, ps:7867.569 
FQ:6250.000, am:0.466, pw:0.845, ps:7885.149 
FQ:6289.308, am:0.463, pw:0.840, ps:7812.900 
FQ:5847.953, am:0.465, pw:0.860, ps:6637.665 
FQ:5988.024, am:0.470, pw:0.845, ps:7539.034 
FQ:5847.953, am:0.466, pw:0.865, ps:6425.358 
FQ:5952.381, am:0.475, pw:0.845, ps:7209.155 
FQ:5917.160, am:0.473, pw:0.855, ps:6866.886 
FQ:6250.000, am:0.471, pw:0.815, ps:8138.062 
FQ:5988.024, am:0.473, pw:0.850, ps:7223.998 
FQ:6250.000, am:0.467, pw:0.840, ps:7808.446 
FQ:6024.096, am:0.470, pw:0.840, ps:7691.350 
FQ:6289.308, am:0.469, pw:0.840, ps:7800.033 
FQ:5988.024, am:0.469, pw:0.845, ps:7706.842 
FQ:5847.953, am:0.461, pw:0.855, ps:6973.815 
FQ:5917.160, am:0.464, pw:0.850, ps:7052.917 
FQ:6024.096, am:0.472, pw:0.840, ps:7716.254 
FQ:5847.953, am:0.466, pw:0.860, ps:6671.210 
FQ:5952.381, am:0.470, pw:0.850, ps:7206.503 
FQ:5847.953, am:0.458, pw:0.860, ps:6755.117 
FQ:5952.381, am:0.470, pw:0.845, ps:7249.774 
FQ:6250.000, am:0.466, pw:0.845, ps:7871.514 
FQ:6024.096, am:0.463, pw:0.845, ps:7702.786 
FQ:5988.024, am:0.464, pw:0.845, ps:7713.165 
FQ:6250.000, am:0.466, pw:0.840, ps:7893.173 
FQ:5847.953, am:0.462, pw:0.865, ps:6714.670 
FQ:5882.353, am:0.452, pw:0.855, ps:6910.933 
FQ:6024.096, am:0.457, pw:0.845, ps:7672.956 
FQ:5952.381, am:0.455, pw:0.850, ps:7438.299 
FQ:6024.096, am:0.454, pw:0.840, ps:7971.530 
FQ:5882.353, am:0.449, pw:0.855, ps:6809.298 
FQ:6024.096, am:0.456, pw:0.845, ps:7684.831 
FQ:5988.024, am:0.474, pw:0.845, ps:7528.489 
FQ:6024.096, am:0.467, pw:0.840, ps:7832.603 
FQ:6250.000, am:0.469, pw:0.840, ps:7945.554 
FQ:5847.953, am:0.467, pw:0.860, ps:6738.807 
FQ:5988.024, am:0.471, pw:0.845, ps:7752.559 
FQ:4705.882, am:0.467, pw:0.855, ps:7352.294 
FQ:5847.953, am:0.467, pw:0.860, ps:6594.057 
FQ:5988.024, am:0.469, pw:0.845, ps:7380.093 
FQ:5917.160, am:0.466, pw:0.855, ps:7022.690 
FQ:6289.308, am:0.478, pw:0.840, ps:7756.964 
FQ:5882.353, am:0.464, pw:0.855, ps:6660.718 
FQ:4705.882, am:0.466, pw:0.845, ps:7139.055 
FQ:5917.160, am:0.468, pw:0.855, ps:6816.406 
FQ:6024.096, am:0.473, pw:0.840, ps:7655.624 
FQ:5847.953, am:0.467, pw:0.860, ps:6464.879 
FQ:5882.353, am:0.467, pw:0.855, ps:6622.779 
FQ:5988.024, am:0.472, pw:0.845, ps:7285.615 
FQ:5917.160, am:0.468, pw:0.850, ps:6861.180 
FQ:6289.308, am:0.469, pw:0.840, ps:7830.781 
FQ:6024.096, am:0.473, pw:0.840, ps:7532.842 
FQ:6250.000, am:0.471, pw:0.835, ps:7858.777 
FQ:6289.308, am:0.472, pw:0.840, ps:7775.094 
FQ:5882.353, am:0.468, pw:0.855, ps:6510.289 
FQ:5988.024, am:0.471, pw:0.845, ps:7429.839 
FQ:6024.096, am:0.470, pw:0.840, ps:7783.713 
FQ:6024.096, am:0.470, pw:0.840, ps:7729.591 
FQ:6250.000, am:0.469, pw:0.835, ps:7790.908 
FQ:6024.096, am:0.472, pw:0.840, ps:7389.950 
FQ:6289.308, am:0.472, pw:0.835, ps:7820.842 
FQ:6024.096, am:0.472, pw:0.840, ps:7737.907 
FQ:6024.096, am:0.473, pw:0.840, ps:7593.667 
FQ:6024.096, am:0.471, pw:0.840, ps:7674.707 
FQ:6289.308, am:0.468, pw:0.835, ps:7828.827 
FQ:6024.096, am:0.469, pw:0.835, ps:7713.489 
FQ:6024.096, am:0.472, pw:0.840, ps:7688.722 
FQ:5988.024, am:0.444, pw:0.845, ps:6974.152 
FQ:6024.096, am:0.471, pw:0.840, ps:7752.684 
FQ:5952.381, am:0.466, pw:0.855, ps:6923.340 
FQ:6024.096, am:0.471, pw:0.840, ps:7684.568 
FQ:6289.308, am:0.473, pw:0.835, ps:7814.774 
FQ:6024.096, am:0.471, pw:0.840, ps:7742.917 
FQ:4733.728, am:0.466, pw:0.850, ps:7078.537 
FQ:4733.728, am:0.468, pw:0.845, ps:7264.908 
FQ:6289.308, am:0.473, pw:0.835, ps:7781.519 
FQ:5988.024, am:0.472, pw:0.845, ps:7472.206 
FQ:6024.096, am:0.474, pw:0.840, ps:7697.954 
FQ:5882.353, am:0.472, pw:0.850, ps:6595.708 
FQ:6289.308, am:0.473, pw:0.840, ps:7839.760 
FQ:5988.024, am:0.473, pw:0.845, ps:7423.169 
FQ:5917.160, am:0.469, pw:0.855, ps:6770.734 
FQ:5952.381, am:0.469, pw:0.850, ps:7077.510 
FQ:5882.353, am:0.471, pw:0.855, ps:6451.755 
FQ:5952.381, am:0.469, pw:0.850, ps:7111.918 
FQ:6024.096, am:0.474, pw:0.840, ps:7813.599 
FQ:5952.381, am:0.472, pw:0.850, ps:7016.140 
FQ:5917.160, am:0.471, pw:0.855, ps:6519.735 
FQ:5952.381, am:0.469, pw:0.850, ps:7163.674 
FQ:6024.096, am:0.474, pw:0.835, ps:7955.787 
FQ:6024.096, am:0.473, pw:0.835, ps:7984.693 
FQ:6024.096, am:0.472, pw:0.835, ps:7914.238 
FQ:6060.606, am:0.472, pw:0.840, ps:7835.650 
FQ:5917.160, am:0.469, pw:0.850, ps:6701.325 
FQ:6024.096, am:0.472, pw:0.835, ps:7703.940 
FQ:5063.291, am:0.473, pw:0.805, ps:8643.556 
FQ:6289.308, am:0.472, pw:0.835, ps:7827.525 
FQ:5063.291, am:0.473, pw:0.805, ps:8550.545 
FQ:4733.728, am:0.469, pw:0.850, ps:6796.001 
FQ:4761.905, am:0.470, pw:0.845, ps:6958.687 
FQ:5917.160, am:0.471, pw:0.855, ps:6395.095 
FQ:5917.160, am:0.474, pw:0.850, ps:6460.626 
FQ:4761.905, am:0.472, pw:0.845, ps:6782.856 
FQ:4761.905, am:0.471, pw:0.845, ps:7039.578 
FQ:5952.381, am:0.469, pw:0.850, ps:6930.734 
FQ:5917.160, am:0.471, pw:0.855, ps:6442.237 
FQ:4761.905, am:0.471, pw:0.845, ps:7211.239 
FQ:5882.353, am:0.470, pw:0.850, ps:6671.767 
FQ:5917.160, am:0.469, pw:0.850, ps:6771.796 
FQ:5952.381, am:0.469, pw:0.850, ps:6742.088 
FQ:6329.114, am:0.472, pw:0.835, ps:7802.438 
FQ:5882.353, am:0.470, pw:0.850, ps:6635.623 
FQ:6024.096, am:0.474, pw:0.840, ps:7403.355 
FQ:5917.160, am:0.471, pw:0.850, ps:6636.175 
FQ:5952.381, am:0.467, pw:0.845, ps:7130.680 
FQ:5917.160, am:0.482, pw:0.860, ps:6531.038 
FQ:6024.096, am:0.476, pw:0.840, ps:7763.053 
FQ:5917.160, am:0.469, pw:0.850, ps:6592.676 
FQ:5917.160, am:0.468, pw:0.850, ps:6791.445 
FQ:5917.160, am:0.467, pw:0.855, ps:6605.613 
FQ:5917.160, am:0.471, pw:0.855, ps:6630.900 
FQ:5952.381, am:0.467, pw:0.850, ps:7295.865 
FQ:6024.096, am:0.473, pw:0.835, ps:7724.931 
FQ:5813.953, am:0.491, pw:0.860, ps:6562.462 
FQ:6134.969, am:0.420, pw:0.830, ps:7981.902 
FQ:5952.381, am:0.501, pw:0.855, ps:7555.626 
FQ:6289.308, am:0.478, pw:0.835, ps:8046.459 
FQ:6060.606, am:0.486, pw:0.840, ps:7818.809 
FQ:5952.381, am:0.473, pw:0.850, ps:7020.878 
FQ:6329.114, am:0.480, pw:0.835, ps:8173.469 
FQ:6329.114, am:0.477, pw:0.835, ps:8123.264 
FQ:5917.160, am:0.477, pw:0.850, ps:6732.809 
FQ:6060.606, am:0.479, pw:0.835, ps:8066.181 
FQ:4790.419, am:0.476, pw:0.840, ps:7587.798 
FQ:6060.606, am:0.479, pw:0.830, ps:8090.967 
FQ:5952.381, am:0.476, pw:0.845, ps:7410.514 
FQ:5031.447, am:0.481, pw:0.800, ps:8922.990 
FQ:5988.024, am:0.478, pw:0.840, ps:7666.301 
FQ:6060.606, am:0.479, pw:0.840, ps:7975.869 
