FQ:6153.846, am:0.845, pw:2.670, ps:8596.160 
FQ:6189.555, am:0.847, pw:2.660, ps:8792.117 
FQ:6201.550, am:0.843, pw:2.655, ps:8676.579 
FQ:6201.550, am:0.845, pw:2.655, ps:8862.165 
FQ:6201.550, am:0.846, pw:2.650, ps:8683.700 
FQ:6118.547, am:0.846, pw:2.660, ps:9931.698 
FQ:5825.243, am:0.844, pw:2.645, ps:9333.152 
FQ:6177.606, am:0.839, pw:2.640, ps:8564.298 
FQ:6165.703, am:0.848, pw:2.645, ps:8975.315 
FQ:6225.681, am:0.852, pw:2.640, ps:8743.259 
FQ:6177.606, am:0.847, pw:2.645, ps:8722.747 
FQ:6177.606, am:0.844, pw:2.640, ps:8443.334 
FQ:6237.817, am:0.847, pw:2.635, ps:8672.029 
FQ:6237.817, am:0.847, pw:2.635, ps:8625.606 
FQ:6189.555, am:0.854, pw:2.635, ps:8381.639 
FQ:6250.000, am:0.849, pw:2.635, ps:8786.416 
FQ:6225.681, am:0.850, pw:2.645, ps:8518.081 
FQ:6250.000, am:0.847, pw:2.625, ps:8609.852 
FQ:6250.000, am:0.849, pw:2.635, ps:8622.038 
FQ:6250.000, am:0.848, pw:2.635, ps:8804.889 
FQ:6250.000, am:0.853, pw:2.635, ps:8751.258 
FQ:6189.555, am:0.849, pw:2.630, ps:9038.693 
FQ:6250.000, am:0.851, pw:2.630, ps:8793.213 
FQ:6250.000, am:0.850, pw:2.625, ps:8585.829 
FQ:6262.231, am:0.850, pw:2.630, ps:8821.138 
FQ:6262.231, am:0.849, pw:2.630, ps:8862.429 
FQ:6250.000, am:0.843, pw:2.625, ps:8922.900 
FQ:6250.000, am:0.847, pw:2.625, ps:8698.874 
FQ:6262.231, am:0.845, pw:2.625, ps:8804.005 
FQ:6262.231, am:0.847, pw:2.620, ps:8721.131 
FQ:6262.231, am:0.848, pw:2.625, ps:8894.632 
FQ:6262.231, am:0.852, pw:2.625, ps:8844.249 
FQ:5836.576, am:0.853, pw:2.630, ps:9993.205 
FQ:6262.231, am:0.875, pw:2.625, ps:8603.301 
FQ:5870.841, am:0.871, pw:2.630, ps:9171.394 
FQ:5825.243, am:0.826, pw:2.620, ps:9926.284 
FQ:6262.231, am:0.824, pw:2.620, ps:9342.986 
