FQ:6185.567, am:0.795, pw:0.990, ps:5876.403 
FQ:5434.783, am:0.791, pw:0.945, ps:6819.483 
FQ:5434.783, am:0.789, pw:0.940, ps:6875.042 
FQ:5434.783, am:0.790, pw:0.945, ps:6842.517 
FQ:6451.613, am:0.796, pw:0.980, ps:6458.768 
FQ:6185.567, am:0.824, pw:0.980, ps:6722.873 
FQ:5434.783, am:0.796, pw:0.945, ps:6706.418 
FQ:5434.783, am:0.826, pw:0.935, ps:6618.653 
FQ:5434.783, am:0.795, pw:0.940, ps:6850.358 
FQ:5464.481, am:0.797, pw:0.940, ps:6826.721 
FQ:6451.613, am:0.801, pw:0.975, ps:6486.252 
FQ:6486.486, am:0.799, pw:0.945, ps:5709.033 
FQ:5464.481, am:0.797, pw:0.935, ps:6883.033 
FQ:5464.481, am:0.794, pw:0.935, ps:6900.758 
FQ:5464.481, am:0.796, pw:0.935, ps:6892.079 
FQ:6250.000, am:0.800, pw:0.970, ps:6308.444 
FQ:5434.783, am:0.798, pw:0.940, ps:6753.661 
FQ:5434.783, am:0.797, pw:0.940, ps:6726.042 
FQ:6282.723, am:0.797, pw:0.975, ps:5928.675 
FQ:6521.739, am:0.797, pw:0.945, ps:5824.587 
FQ:5434.783, am:0.798, pw:0.940, ps:6749.505 
FQ:5464.481, am:0.799, pw:0.935, ps:6862.990 
FQ:6217.617, am:0.825, pw:0.980, ps:5950.430 
FQ:6250.000, am:0.799, pw:0.975, ps:6134.132 
FQ:6417.112, am:0.798, pw:0.945, ps:5489.049 
FQ:5434.783, am:0.796, pw:0.940, ps:6810.453 
FQ:6451.613, am:0.799, pw:0.980, ps:6427.111 
FQ:5434.783, am:0.794, pw:0.940, ps:6879.477 
FQ:6217.617, am:0.797, pw:0.985, ps:5978.564 
FQ:6250.000, am:0.824, pw:0.980, ps:6054.641 
FQ:6451.613, am:0.794, pw:0.945, ps:6648.760 
FQ:5464.481, am:0.794, pw:0.940, ps:6891.131 
FQ:5464.481, am:0.795, pw:0.935, ps:6869.427 
FQ:5434.783, am:0.793, pw:0.940, ps:6583.888 
FQ:5434.783, am:0.794, pw:0.940, ps:6792.276 
FQ:5434.783, am:0.791, pw:0.940, ps:6886.785 
FQ:5434.783, am:0.793, pw:0.940, ps:6820.715 
FQ:6217.617, am:0.798, pw:0.945, ps:5771.021 
