FQ:6376.196, am:1.815, pw:4.970, ps:4747.582 
FQ:6342.495, am:1.802, pw:4.930, ps:4512.712 
FQ:6349.206, am:1.799, pw:4.925, ps:4641.985 
FQ:6349.206, am:1.799, pw:4.920, ps:4530.352 
FQ:6362.672, am:1.793, pw:4.915, ps:4552.032 
FQ:6362.672, am:1.791, pw:4.905, ps:4640.076 
FQ:6417.112, am:1.791, pw:4.880, ps:4869.212 
FQ:6417.112, am:1.791, pw:4.880, ps:4842.373 
FQ:6437.768, am:1.799, pw:4.895, ps:4567.566 
FQ:6430.868, am:1.801, pw:4.865, ps:4844.217 
FQ:6444.683, am:1.799, pw:4.890, ps:4611.154 
FQ:6444.683, am:1.791, pw:4.860, ps:4876.697 
FQ:6451.613, am:1.792, pw:4.855, ps:4715.929 
FQ:6458.558, am:1.791, pw:4.885, ps:4593.159 
FQ:6458.558, am:1.791, pw:4.880, ps:4627.693 
FQ:6437.768, am:1.799, pw:4.865, ps:4860.564 
FQ:6444.683, am:1.800, pw:4.860, ps:4849.635 
FQ:6423.983, am:1.801, pw:4.850, ps:4808.674 
FQ:6451.613, am:1.792, pw:4.845, ps:4877.721 
FQ:6458.558, am:1.794, pw:4.845, ps:4878.115 
FQ:6458.558, am:1.793, pw:4.845, ps:4879.134 
FQ:6458.558, am:1.791, pw:4.840, ps:4887.516 
FQ:6451.613, am:1.801, pw:4.850, ps:4843.824 
FQ:6263.499, am:1.800, pw:4.895, ps:4474.867 
FQ:6458.558, am:1.799, pw:4.845, ps:4867.525 
FQ:6472.492, am:1.790, pw:4.830, ps:4888.774 
FQ:6437.768, am:1.790, pw:4.835, ps:4867.502 
FQ:6479.482, am:1.791, pw:4.835, ps:4783.600 
FQ:6472.492, am:1.792, pw:4.830, ps:4888.982 
FQ:6479.482, am:1.801, pw:4.880, ps:4587.934 
FQ:6465.517, am:1.798, pw:4.835, ps:4872.477 
FQ:6263.499, am:1.800, pw:4.885, ps:4569.431 
FQ:6472.492, am:1.791, pw:4.830, ps:4896.482 
FQ:6486.486, am:1.791, pw:4.835, ps:4845.028 
FQ:6270.270, am:1.792, pw:4.880, ps:4542.169 
FQ:6479.482, am:1.793, pw:4.825, ps:4891.343 
FQ:6472.492, am:1.801, pw:4.835, ps:4869.926 
FQ:6479.482, am:1.800, pw:4.830, ps:4872.346 
FQ:6486.486, am:1.800, pw:4.875, ps:4574.302 
FQ:6472.492, am:1.792, pw:4.830, ps:4890.637 
FQ:6479.482, am:1.793, pw:4.830, ps:4888.797 
FQ:6283.857, am:1.793, pw:4.880, ps:4496.682 
FQ:6479.482, am:1.791, pw:4.830, ps:4894.330 
FQ:6535.948, am:1.799, pw:4.815, ps:4871.976 
FQ:6277.056, am:1.800, pw:4.885, ps:4491.787 
FQ:6277.056, am:1.800, pw:4.880, ps:4518.263 
FQ:6543.075, am:1.793, pw:4.810, ps:4887.818 
FQ:6283.857, am:1.793, pw:4.875, ps:4595.664 
FQ:6493.506, am:1.792, pw:4.835, ps:4763.695 
FQ:6543.075, am:1.800, pw:4.810, ps:4873.479 
FQ:6277.056, am:1.798, pw:4.880, ps:4567.733 
FQ:6486.486, am:1.800, pw:4.825, ps:4877.994 
FQ:6500.542, am:1.797, pw:4.825, ps:4831.286 
FQ:6521.739, am:1.797, pw:4.825, ps:4886.159 
FQ:6486.486, am:1.798, pw:4.820, ps:4880.730 
FQ:6331.878, am:1.742, pw:4.765, ps:4797.721 
FQ:6479.482, am:1.796, pw:4.825, ps:4893.618 
FQ:6500.542, am:1.796, pw:4.830, ps:4859.168 
FQ:6500.542, am:1.796, pw:4.835, ps:4802.152 
FQ:6283.857, am:1.798, pw:4.870, ps:4643.067 
FQ:6557.377, am:1.801, pw:4.810, ps:4887.209 
