FQ:5981.308, am:0.880, pw:2.690, ps:13420.961 
FQ:6015.038, am:0.882, pw:2.675, ps:14276.994 
FQ:6015.038, am:0.880, pw:2.675, ps:13730.958 
FQ:6026.365, am:0.882, pw:2.670, ps:13617.374 
FQ:6037.736, am:0.881, pw:2.665, ps:13526.436 
FQ:6049.149, am:0.883, pw:2.660, ps:13738.929 
FQ:6049.149, am:0.884, pw:2.655, ps:13488.358 
FQ:6049.149, am:0.882, pw:2.655, ps:13528.696 
FQ:6072.106, am:0.883, pw:2.650, ps:13508.998 
FQ:6451.613, am:0.885, pw:2.650, ps:14472.408 
FQ:6083.650, am:0.880, pw:2.645, ps:13568.692 
FQ:6095.238, am:0.881, pw:2.640, ps:13537.040 
FQ:6095.238, am:0.884, pw:2.640, ps:13504.237 
FQ:6083.650, am:0.884, pw:2.640, ps:13505.681 
FQ:6095.238, am:0.883, pw:2.640, ps:13532.916 
FQ:6095.238, am:0.888, pw:2.635, ps:14274.605 
FQ:6106.870, am:0.886, pw:2.635, ps:14219.377 
FQ:6095.238, am:0.885, pw:2.635, ps:13518.543 
FQ:6106.870, am:0.885, pw:2.635, ps:13527.284 
FQ:6513.410, am:0.884, pw:2.625, ps:14553.246 
FQ:6106.870, am:0.883, pw:2.630, ps:13885.333 
FQ:6118.547, am:0.881, pw:2.630, ps:14418.441 
FQ:6106.870, am:0.882, pw:2.635, ps:13541.125 
FQ:6118.547, am:0.885, pw:2.630, ps:13533.536 
FQ:6106.870, am:0.885, pw:2.630, ps:13513.013 
FQ:6106.870, am:0.885, pw:2.625, ps:13493.519 
FQ:6118.547, am:0.885, pw:2.625, ps:13523.459 
FQ:6118.547, am:0.882, pw:2.630, ps:13578.173 
FQ:6130.268, am:0.883, pw:2.625, ps:13715.158 
FQ:6130.268, am:0.882, pw:2.625, ps:13565.950 
FQ:6130.268, am:0.884, pw:2.620, ps:13965.480 
FQ:6118.547, am:0.884, pw:2.625, ps:13541.538 
FQ:6130.268, am:0.886, pw:2.625, ps:13538.622 
FQ:6153.846, am:0.884, pw:2.615, ps:14524.529 
FQ:6130.268, am:0.886, pw:2.620, ps:13536.170 
FQ:6130.268, am:0.885, pw:2.620, ps:13529.302 
FQ:6130.268, am:0.885, pw:2.620, ps:13516.393 
FQ:6130.268, am:0.887, pw:2.625, ps:13506.943 
FQ:6142.035, am:0.883, pw:2.615, ps:14189.888 
FQ:6142.035, am:0.886, pw:2.620, ps:13532.437 
FQ:6142.035, am:0.884, pw:2.620, ps:13560.938 
FQ:6142.035, am:0.889, pw:2.620, ps:13488.515 
FQ:6130.268, am:0.886, pw:2.615, ps:13521.919 
FQ:6130.268, am:0.889, pw:2.620, ps:13481.785 
