FQ:6488.240, am:1.918, pw:6.345, ps:5386.035 
FQ:6393.443, am:1.920, pw:6.345, ps:5367.550 
FQ:6557.377, am:1.918, pw:6.295, ps:5532.797 
FQ:6398.687, am:1.920, pw:6.335, ps:5373.442 
FQ:6573.541, am:1.920, pw:6.325, ps:5334.503 
FQ:6578.947, am:1.919, pw:6.320, ps:5390.054 
FQ:6414.474, am:1.918, pw:6.290, ps:5500.598 
FQ:6430.338, am:1.919, pw:6.265, ps:5385.756 
FQ:6584.362, am:1.919, pw:6.315, ps:5330.446 
FQ:6430.338, am:1.920, pw:6.290, ps:5424.867 
FQ:6425.041, am:1.919, pw:6.275, ps:5150.277 
FQ:6435.644, am:1.921, pw:6.250, ps:5314.415 
FQ:6478.405, am:1.930, pw:6.275, ps:5524.669 
FQ:6435.644, am:1.932, pw:6.250, ps:5304.494 
FQ:6451.613, am:1.930, pw:6.285, ps:5400.738 
FQ:6489.185, am:1.918, pw:6.260, ps:5559.425 
FQ:6446.281, am:1.920, pw:6.240, ps:5387.357 
FQ:6473.029, am:1.920, pw:6.250, ps:5528.496 
FQ:6456.954, am:1.918, pw:6.220, ps:5443.755 
FQ:6451.613, am:1.921, pw:6.240, ps:5216.102 
FQ:6500.000, am:1.919, pw:6.250, ps:5573.446 
FQ:6456.954, am:1.918, pw:6.235, ps:5207.048 
FQ:6666.667, am:1.923, pw:6.245, ps:5561.315 
FQ:6440.958, am:1.930, pw:6.245, ps:5254.503 
FQ:6661.116, am:1.930, pw:6.255, ps:5535.388 
FQ:6456.954, am:1.932, pw:6.215, ps:5456.691 
FQ:6462.303, am:1.918, pw:6.230, ps:5229.805 
FQ:6478.405, am:1.921, pw:6.245, ps:5529.218 
FQ:6462.303, am:1.919, pw:6.205, ps:5510.663 
FQ:6467.662, am:1.919, pw:6.205, ps:5527.597 
FQ:6467.662, am:1.922, pw:6.210, ps:5437.377 
FQ:6462.303, am:1.919, pw:6.230, ps:5213.374 
FQ:6473.029, am:1.922, pw:6.205, ps:5490.563 
FQ:6467.662, am:1.919, pw:6.200, ps:5548.298 
FQ:6462.303, am:1.919, pw:6.220, ps:5407.330 
FQ:6467.662, am:1.919, pw:6.205, ps:5447.859 
FQ:6462.303, am:1.918, pw:6.220, ps:5359.369 
FQ:6505.421, am:1.919, pw:6.235, ps:5574.283 
FQ:6489.185, am:1.932, pw:6.235, ps:5185.009 
FQ:6462.303, am:1.931, pw:6.225, ps:5285.208 
FQ:6483.791, am:1.929, pw:6.225, ps:5245.006 
FQ:6473.029, am:1.919, pw:6.215, ps:5438.511 
FQ:6473.029, am:1.920, pw:6.195, ps:5493.219 
FQ:6473.029, am:1.920, pw:6.215, ps:5417.226 
FQ:6467.662, am:1.918, pw:6.215, ps:5365.965 
FQ:6467.662, am:1.923, pw:6.220, ps:5282.854 
FQ:6483.791, am:1.919, pw:6.195, ps:5581.128 
FQ:6467.662, am:1.923, pw:6.220, ps:5325.969 
FQ:6478.405, am:1.919, pw:6.200, ps:5557.522 
FQ:6510.851, am:1.919, pw:6.190, ps:5582.891 
FQ:6500.000, am:1.919, pw:6.175, ps:5568.208 
FQ:6478.405, am:1.924, pw:6.190, ps:5528.806 
FQ:6473.029, am:1.919, pw:6.200, ps:5458.785 
FQ:6473.029, am:1.932, pw:6.200, ps:5475.252 
FQ:6483.791, am:1.930, pw:6.190, ps:5554.479 
FQ:6500.000, am:1.931, pw:6.170, ps:5550.288 
FQ:6510.851, am:1.921, pw:6.200, ps:5387.375 
FQ:6489.185, am:1.920, pw:6.180, ps:5563.108 
FQ:6483.791, am:1.922, pw:6.185, ps:5541.697 
FQ:6532.663, am:1.919, pw:6.165, ps:5584.540 
FQ:6473.029, am:1.941, pw:6.220, ps:5342.673 
FQ:6473.029, am:1.942, pw:6.215, ps:5370.787 
FQ:6516.291, am:1.944, pw:6.165, ps:5494.989 
FQ:6510.851, am:1.942, pw:6.160, ps:5436.777 
FQ:6532.663, am:1.941, pw:6.170, ps:5527.700 
FQ:6365.159, am:1.943, pw:6.200, ps:5352.218 
FQ:6473.029, am:1.905, pw:6.195, ps:5623.598 
FQ:6478.405, am:1.904, pw:6.185, ps:5532.606 
FQ:6354.515, am:1.905, pw:6.205, ps:5381.252 
FQ:6500.000, am:1.905, pw:6.210, ps:5383.577 
FQ:6349.206, am:1.926, pw:6.210, ps:5351.650 
FQ:6489.185, am:1.925, pw:6.185, ps:5655.033 
FQ:6521.739, am:1.927, pw:6.200, ps:5491.419 
FQ:6365.159, am:1.927, pw:6.175, ps:5541.014 
FQ:6370.495, am:1.928, pw:6.170, ps:5541.789 
FQ:6538.139, am:1.927, pw:6.155, ps:5650.262 
FQ:6521.739, am:1.926, pw:6.155, ps:5647.994 
FQ:6386.555, am:1.928, pw:6.190, ps:5307.134 
FQ:6516.291, am:1.960, pw:6.170, ps:5550.507 
FQ:6402.696, am:1.925, pw:6.170, ps:5394.985 
FQ:6560.135, am:1.927, pw:6.130, ps:5649.836 
FQ:6582.278, am:1.929, pw:6.165, ps:5483.682 
FQ:6554.622, am:1.927, pw:6.150, ps:5593.804 
FQ:6549.118, am:1.930, pw:6.140, ps:5635.910 
FQ:6397.306, am:1.925, pw:6.180, ps:5464.117 
FQ:6375.839, am:1.928, pw:6.170, ps:5510.040 
FQ:6571.188, am:1.926, pw:6.185, ps:5338.335 
FQ:6391.926, am:1.939, pw:6.185, ps:5272.076 
FQ:6554.622, am:1.939, pw:6.145, ps:5545.840 
FQ:6391.926, am:1.937, pw:6.185, ps:5309.781 
FQ:6391.926, am:1.927, pw:6.170, ps:5474.440 
FQ:6554.622, am:1.927, pw:6.150, ps:5650.692 
FQ:6391.926, am:1.926, pw:6.185, ps:5466.688 
FQ:6538.139, am:1.928, pw:6.135, ps:5652.678 
FQ:6565.657, am:1.926, pw:6.175, ps:5424.227 
FQ:6402.696, am:1.931, pw:6.180, ps:5467.923 
FQ:6391.926, am:1.926, pw:6.190, ps:5249.634 
FQ:6571.188, am:1.930, pw:6.180, ps:5304.047 
FQ:6397.306, am:1.926, pw:6.175, ps:5402.884 
FQ:6402.696, am:1.927, pw:6.175, ps:5463.611 
FQ:6560.135, am:1.928, pw:6.140, ps:5656.229 
FQ:6397.306, am:1.927, pw:6.145, ps:5614.188 
FQ:6532.663, am:1.929, pw:6.140, ps:5625.852 
FQ:6554.622, am:1.928, pw:6.145, ps:5658.325 
FQ:6397.306, am:1.927, pw:6.175, ps:5470.265 
FQ:6560.135, am:1.928, pw:6.140, ps:5659.011 
FQ:6565.657, am:1.938, pw:6.185, ps:5386.358 
FQ:6560.135, am:1.942, pw:6.145, ps:5570.685 
FQ:6386.555, am:1.937, pw:6.165, ps:5536.202 
FQ:6402.696, am:1.927, pw:6.170, ps:5502.858 
FQ:6402.696, am:1.930, pw:6.140, ps:5254.201 
FQ:6560.135, am:1.926, pw:6.145, ps:5650.490 
FQ:6565.657, am:1.926, pw:6.140, ps:5643.309 
FQ:6554.622, am:1.927, pw:6.140, ps:5637.743 
FQ:6402.696, am:1.927, pw:6.175, ps:5421.119 
FQ:6402.696, am:1.927, pw:6.170, ps:5522.126 
FQ:6560.135, am:1.927, pw:6.140, ps:5645.513 
FQ:6538.139, am:1.927, pw:6.135, ps:5654.045 
FQ:6560.135, am:1.927, pw:6.130, ps:5652.437 
FQ:6543.624, am:1.930, pw:6.135, ps:5648.459 
FQ:6554.622, am:1.928, pw:6.145, ps:5658.309 
FQ:6402.696, am:1.926, pw:6.175, ps:5457.700 
FQ:6582.278, am:1.927, pw:6.170, ps:5330.714 
FQ:6408.094, am:1.930, pw:6.165, ps:5476.504 
FQ:6408.094, am:1.929, pw:6.150, ps:5542.379 
FQ:6560.135, am:1.940, pw:6.145, ps:5619.814 
FQ:6397.306, am:1.939, pw:6.140, ps:5302.211 
FQ:6571.188, am:1.937, pw:6.175, ps:5424.818 
FQ:6397.306, am:1.926, pw:6.150, ps:5643.840 
FQ:6560.135, am:1.927, pw:6.140, ps:5661.677 
FQ:6565.657, am:1.926, pw:6.140, ps:5659.388 
FQ:6408.094, am:1.926, pw:6.175, ps:5514.197 
FQ:6560.135, am:1.926, pw:6.140, ps:5655.623 
FQ:6408.094, am:1.926, pw:6.155, ps:5551.133 
FQ:6402.696, am:1.926, pw:6.150, ps:5553.344 
FQ:6397.306, am:1.927, pw:6.140, ps:5563.156 
FQ:6408.094, am:1.931, pw:6.145, ps:5580.607 
FQ:6604.572, am:1.927, pw:6.135, ps:5598.084 
FQ:6408.094, am:1.926, pw:6.150, ps:5585.661 
FQ:6402.696, am:1.926, pw:6.145, ps:5603.287 
FQ:6402.696, am:1.929, pw:6.135, ps:5613.448 
FQ:6408.094, am:1.930, pw:6.135, ps:5264.626 
FQ:6413.502, am:1.927, pw:6.165, ps:5473.380 
FQ:6402.696, am:1.926, pw:6.135, ps:5267.916 
FQ:6571.188, am:1.926, pw:6.170, ps:5501.141 
FQ:6408.094, am:1.926, pw:6.135, ps:5265.754 
FQ:6424.345, am:1.926, pw:6.110, ps:5496.604 
FQ:6408.094, am:1.926, pw:6.130, ps:5367.284 
FQ:6565.657, am:1.937, pw:6.135, ps:5630.587 
FQ:6565.657, am:1.938, pw:6.145, ps:5564.478 
FQ:6402.696, am:1.938, pw:6.165, ps:5510.412 
